ID;Asymmetrie_4_1;Asymmetrie_4_2;Asymmetrie_4_3;Rand_4_1;Rand_4_2;Rand_4_3;Kleurver_4_1;Kleurver_4_2;Kleurver_4_3;Kleurzelf_4_1;Kleurzelf_4_2;Kleurzelf_4_3
ISIC_0013320;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013326;1;3;1;2;3;3;2;2;2;2;2;2
ISIC_0013329;1;1;1;1;1;1;1;1;2;1;1;1
ISIC_0013330;3;2;2;1;1;1;2;1;2;1;1;1
ISIC_0013333;3;2;3;2;2;2;1;1;1;1;1;1
ISIC_0013335;3;1;3;1;1;1;1;2;2;2;1;2
ISIC_0013340;3;3;3;3;2;2;2;1;1;2;1;1
ISIC_0013341;2;1;1;1;1;1;3;3;3;3;3;3
ISIC_0013342;1;1;1;1;1;1;1;1;2;1;1;1
ISIC_0013346;2;3;2;3;3;2;2;3;1;1;1;1
ISIC_0013355;1;2;1;1;1;1;1;1;1;1;1;1
ISIC_0013356;2;1;2;1;1;1;1;1;1;1;1;1
ISIC_0013360;1;3;1;2;3;2;3;3;3;2;2;3
ISIC_0013364;2;1;2;1;1;1;1;1;2;1;1;1
ISIC_0013369;2;1;2;1;1;1;2;1;2;1;1;1
ISIC_0013370;2;2;2;2;2;2;1;1;1;2;2;2
ISIC_0013371;3;2;2;1;2;1;2;3;3;2;2;2
ISIC_0013378;1;1;1;1;1;2;1;1;2;1;1;1
ISIC_0013383;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013385;2;2;2;2;2;2;2;2;2;1;1;1
ISIC_0013390;1;1;1;1;1;1;1;1;2;2;1;1
ISIC_0013394;2;2;1;2;2;2;2;2;2;1;2;2
ISIC_0013395;1;1;1;1;1;1;1;1;2;1;1;1
ISIC_0013397;2;1;1;2;1;2;3;3;3;1;1;2
ISIC_0013398;2;2;2;1;1;2;1;1;1;1;1;1
ISIC_0013400;2;3;2;3;2;3;2;2;3;1;1;2
ISIC_0013403;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013405;1;1;1;1;1;2;1;1;2;2;1;3
ISIC_0013409;3;1;2;2;1;1;2;3;3;2;2;2
ISIC_0013410;3;2;3;2;1;2;1;1;2;2;1;3
ISIC_0013417;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013423;1;1;1;1;1;2;1;1;2;3;2;3
ISIC_0013424;1;1;1;1;1;1;1;2;2;1;1;3
ISIC_0013425;3;2;3;2;2;2;1;1;2;1;1;1
ISIC_0013428;3;3;3;3;2;3;2;1;1;1;1;2
ISIC_0013430;2;1;2;1;1;1;3;3;3;2;2;3
ISIC_0013432;3;2;3;2;1;2;2;2;2;1;1;1
ISIC_0013433;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013434;2;2;2;1;1;2;1;1;1;1;1;1
ISIC_0013437;3;2;3;3;2;3;2;2;1;1;1;1
ISIC_0013438;1;1;1;1;1;1;2;1;1;1;1;2
ISIC_0013443;2;2;1;3;2;2;3;3;3;2;2;2
ISIC_0013456;3;3;3;3;2;3;2;1;2;1;1;1
ISIC_0013458;2;2;1;2;2;2;2;2;2;1;1;1
ISIC_0013461;1;1;1;1;1;1;1;1;2;1;1;1
ISIC_0013474;3;2;3;2;2;2;3;3;3;3;1;2
ISIC_0013480;1;2;1;2;2;2;2;2;2;1;1;1
ISIC_0013486;2;2;2;2;1;2;1;2;2;1;1;1
ISIC_0013487;1;2;1;2;1;2;1;1;2;1;1;1
ISIC_0013488;1;3;1;2;2;3;1;1;2;1;1;1
ISIC_0013489;2;2;2;3;2;2;1;1;1;1;1;1
ISIC_0013492;3;3;2;3;2;3;2;3;2;1;1;1
ISIC_0013493;3;2;3;3;3;2;3;3;3;1;1;2
ISIC_0013494;2;2;2;2;2;2;2;2;2;1;1;1
ISIC_0013495;3;2;2;3;2;2;2;2;3;1;1;1
ISIC_0013498;3;2;2;3;2;2;2;2;1;1;1;1
ISIC_0013516;2;2;1;2;2;3;2;2;2;2;1;3
ISIC_0013517;2;2;1;1;1;1;1;1;1;1;1;1
ISIC_0013523;3;2;2;1;2;2;1;2;2;1;1;1
ISIC_0013526;2;2;1;1;1;1;1;1;2;1;1;1
ISIC_0013552;3;1;1;1;1;1;1;1;3;3;3;3
ISIC_0013553;3;2;2;3;3;2;2;3;2;1;1;1
ISIC_0013554;2;1;2;2;2;1;2;2;2;1;1;1
ISIC_0013558;2;1;1;1;1;1;1;1;1;3;1;2
ISIC_0013559;3;3;3;3;3;3;2;2;2;2;1;2
ISIC_0013568;2;3;2;1;2;2;2;2;2;2;2;1
ISIC_0013580;3;2;2;2;2;2;2;2;3;2;2;2
ISIC_0013584;1;2;1;3;3;3;3;3;2;2;1;3
ISIC_0013585;3;3;1;3;3;3;3;3;3;2;2;3
ISIC_0013592;3;1;1;2;1;1;2;2;2;1;1;1
ISIC_0013595;3;2;2;1;1;2;2;2;2;1;1;1
ISIC_0013596;2;2;2;3;3;2;3;2;2;1;1;1
ISIC_0013597;3;2;2;3;2;2;3;3;3;1;1;1
ISIC_0013599;2;2;1;2;2;3;2;2;2;1;1;1
ISIC_0013601;3;2;1;2;2;3;3;2;2;1;1;1
ISIC_0013603;1;2;2;2;2;3;3;3;2;1;1;1
ISIC_0013621;3;3;2;3;3;3;3;3;2;2;1;2
ISIC_0013625;2;1;2;2;2;1;2;2;3;1;1;2
ISIC_0013635;3;2;3;2;3;2;3;3;3;2;1;2
ISIC_0013643;2;1;2;1;1;1;1;1;1;1;1;1
ISIC_0013656;1;2;1;1;1;1;2;2;2;1;1;1
ISIC_0013664;3;2;3;3;3;3;2;2;2;1;1;1
ISIC_0013667;3;3;3;3;3;3;3;2;2;2;1;2
ISIC_0013670;3;2;2;2;1;1;2;2;2;1;1;1
ISIC_0013675;1;1;1;1;1;2;2;2;2;2;1;2
ISIC_0013676;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013680;1;1;1;1;1;1;1;1;1;2;1;3
ISIC_0013682;3;2;3;3;3;3;3;3;3;2;1;3
ISIC_0013684;2;2;1;2;3;2;3;3;3;3;2;3
ISIC_0013685;3;3;2;3;3;3;3;3;3;2;1;2
ISIC_0013687;1;1;1;1;1;1;1;1;1;1;1;1
ISIC_0013688;2;1;1;1;1;1;2;2;1;1;1;1
