ID;Asymmetrie_Group 3_persoon1;Grens_Group 3_persoon1;Kleur_Group 3_persoon1;Asymmetrie_Group 3_persoon2;Grens_Group 3_persoon2;Kleur_Group 3_persoon2;Asymmetrie_Group 3_persoon3;Grens_Group 3_persoon3;Kleur_Group 3_persoon3;Asymmetrie_Group 3_persoon4;Grens_Group 3_persoon4;Kleur_Group 3_persoon4;Asymmetrie_Group 3_persoon5;Grens_Group 3_persoon5;Kleur_Group 3_persoon5;Asymmetrie_Group 3_persoon6;Grens_Group 3_persoon6;Kleur_Group 3_persoon6;Asymmetrie_Group 3_persoon7;Grens_Group 3_persoon7;Kleur_Group 3_persoon7
ISIC_0013026;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1
ISIC_0013027;0;0;1;1;0;1;0;1;2;0;0;1;1;1;2;0;1;1;0;1;1
ISIC_0013031;0;1;2;2;1;1;2;1;2;2;1;1;0;1;1;1;1;2;1;1;1
ISIC_0013032;2;1;1;2;1;2;2;1;2;1;0;1;2;1;2;2;1;1;1;1;1
ISIC_0013033;2;1;1;2;1;2;2;1;2;2;1;2;2;1;1;2;1;2;2;1;1
ISIC_0013034;2;1;2;1;1;2;2;1;1;2;1;3;2;1;2;2;1;1;1;1;1
ISIC_0013037;0;1;1;1;1;2;1;1;3;0;1;1;1;1;1;0;1;2;1;1;1
ISIC_0013039;1;1;2;1;1;2;1;1;3;1;0;2;2;1;2;2;1;2;1;1;2
ISIC_0013040;2;1;1;2;1;1;2;1;2;2;1;1;2;1;1;2;1;2;1;1;2
ISIC_0013044;1;1;1;0;1;2;1;1;3;1;0;1;0;1;1;1;1;1;1;1;2
ISIC_0013047;2;0;1;2;0;2;1;1;3;2;0;2;1;0;1;2;1;2;1;1;2
ISIC_0013048;1;1;2;1;1;2;1;1;4;1;0;2;1;1;2;1;1;3;1;1;2
ISIC_0013052;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;0;1;1;1;1
ISIC_0013053;1;1;2;1;1;2;2;1;1;1;1;1;2;1;2;1;1;2;0;1;1
ISIC_0013054;0;1;3;0;1;1;1;0;1;0;0;1;1;1;3;1;0;1;0;0;1
ISIC_0013055;2;1;2;2;1;2;2;1;3;2;1;1;2;1;1;2;1;2;1;1;1
ISIC_0013056;1;1;2;1;1;2;2;1;2;1;1;2;2;1;2;2;1;2;1;1;1
ISIC_0013059;2;0;3;1;0;3;2;1;2;2;0;2;2;0;2;2;0;1;1;1;1
ISIC_0013063;0;0;3;0;1;3;2;1;3;0;1;3;0;0;3;1;1;2;0;1;3
ISIC_0013065;2;1;2;2;1;2;2;1;3;1;1;2;1;1;2;2;1;2;1;1;2
ISIC_0013071;1;1;0;1;1;0;2;1;2;1;1;0;0;1;0;1;1;0;1;1;1
ISIC_0013075;2;1;1;2;1;1;2;1;3;0;1;1;2;1;2;1;0;3;0;1;1
ISIC_0013080;2;1;1;2;1;1;2;1;3;2;0;2;2;1;2;2;0;1;2;1;1
ISIC_0013084;0;1;3;0;1;3;1;1;5;1;1;5;0;1;2;1;1;2;0;1;2
ISIC_0013086;0;1;2;0;1;2;1;1;3;1;0;3;0;1;2;0;0;2;0;1;2
ISIC_0013087;0;1;2;0;1;2;1;1;4;1;0;3;0;1;2;2;1;2;0;0;2
ISIC_0013088;1;0;2;1;0;2;1;1;3;1;0;2;1;1;2;2;1;1;0;1;1
ISIC_0013089;0;1;4;0;1;4;2;1;5;2;0;4;0;1;4;1;1;2;0;1;3
ISIC_0013090;1;1;2;1;1;2;1;1;3;1;0;1;1;1;2;2;1;0;1;1;1
ISIC_0013092;2;1;5;2;1;3;2;1;7;2;1;4;2;1;5;2;1;3;2;1;3
ISIC_0013094;2;1;2;2;1;2;2;1;3;2;0;1;2;1;2;2;0;1;1;1;1
ISIC_0013096;1;1;2;1;1;3;2;1;4;2;1;3;1;1;2;1;1;2;0;1;2
ISIC_0013097;0;1;1;0;1;2;0;1;2;0;0;2;0;1;1;0;1;2;0;1;2
ISIC_0013106;2;1;2;2;1;2;2;1;4;2;0;2;2;1;2;2;1;2;1;1;2
ISIC_0013112;2;1;2;2;1;2;2;1;3;1;1;2;2;1;2;2;1;2;2;1;1
ISIC_0013114;1;1;3;1;0;2;2;1;5;1;0;3;0;1;3;1;1;2;0;1;2
ISIC_0013118;1;1;2;2;1;1;2;1;3;1;0;1;1;1;2;2;1;1;1;1;1
ISIC_0013120;1;1;3;1;1;1;2;1;2;1;1;2;2;1;1;2;1;3;1;1;1
ISIC_0013121;2;1;2;2;1;2;2;1;5;2;1;2;0;1;2;0;1;2;0;1;2
ISIC_0013124;1;1;1;2;1;2;2;1;3;1;0;1;2;1;3;2;1;1;0;1;1
ISIC_0013126;2;1;1;2;1;2;2;1;4;2;1;2;2;1;2;2;1;1;0;1;2
ISIC_0013129;2;1;2;0;1;3;0;1;5;2;1;2;1;1;2;1;1;2;2;1;2
ISIC_0013134;0;1;0;0;1;1;1;1;2;0;1;2;1;1;1;0;0;0;0;0;1
ISIC_0013136;0;1;1;0;1;4;1;1;3;0;0;2;0;1;2;1;1;1;0;1;1
ISIC_0013140;1;1;2;2;1;3;1;1;3;1;1;2;1;1;2;2;1;2;1;1;2
ISIC_0013146;2;1;3;2;1;3;2;1;4;2;1;3;2;1;4;2;1;3;2;1;3
ISIC_0013147;0;0;1;0;0;2;0;1;3;0;0;1;0;0;1;1;0;1;0;1;2
ISIC_0013150;1;1;3;1;1;3;0;1;3;1;1;3;1;1;2;2;1;3;1;1;3
ISIC_0013155;0;0;1;0;0;2;0;1;2;0;0;0;0;0;0;2;1;1;0;1;2
ISIC_0013160;2;1;2;2;1;4;2;1;4;2;1;5;2;1;4;0;0;2;1;1;4
ISIC_0013163;0;0;1;0;0;2;1;1;3;0;0;1;0;0;0;0;1;1;0;1;1
ISIC_0013165;2;1;2;0;1;3;2;1;2;2;1;2;0;1;2;1;1;2;0;1;2
ISIC_0013166;2;1;4;1;1;5;2;1;6;2;1;5;2;1;4;2;1;4;2;1;5
ISIC_0013167;2;0;2;1;0;3;2;1;3;2;0;4;0;0;1;2;0;2;0;1;3
ISIC_0013172;1;1;2;0;1;1;2;1;4;1;0;2;0;1;1;2;1;2;0;1;2
ISIC_0013173;0;1;1;1;1;2;1;1;2;0;0;1;1;1;1;0;1;1;1;1;1
ISIC_0013174;0;1;1;0;1;2;0;1;3;0;1;2;2;1;2;2;1;1;2;1;2
ISIC_0013177;2;1;3;2;1;4;2;1;4;2;1;3;2;1;5;2;1;3;2;1;3
ISIC_0013178;2;1;2;2;1;2;2;1;3;2;1;1;2;1;2;2;1;2;2;1;1
ISIC_0013181;1;1;2;2;0;2;2;1;2;1;0;2;1;1;1;2;1;1;1;1;2
ISIC_0013187;0;1;3;0;1;3;1;2;3;0;0;2;0;1;1;1;1;2;0;1;2
ISIC_0013189;2;1;4;2;1;4;2;1;4;2;1;3;2;1;2;2;1;2;2;1;1
ISIC_0013190;0;1;2;0;1;2;0;0;2;0;0;1;0;1;1;0;0;1;0;1;2
ISIC_0013192;0;1;1;1;1;1;2;1;3;0;0;1;1;1;1;2;1;1;0;1;1
ISIC_0013193;1;1;2;0;0;2;1;0;2;1;0;2;0;1;2;1;0;1;0;0;3
ISIC_0013196;0;1;1;0;1;1;2;1;3;0;0;1;0;1;1;1;1;1;1;1;1
ISIC_0013197;1;1;2;1;1;2;2;1;3;1;0;1;1;1;1;2;1;1;1;1;2
ISIC_0013200;0;1;3;0;1;3;1;0;3;0;0;2;1;1;2;2;1;2;0;1;3
ISIC_0013201;1;1;2;0;1;2;1;1;2;1;1;2;0;1;2;1;1;1;1;1;1
ISIC_0013204;1;0;2;1;0;2;2;0;2;1;0;1;2;1;1;2;0;1;1;1;1
ISIC_0013205;1;1;2;2;1;2;2;1;3;1;1;2;2;1;1;1;1;2;2;1;2
ISIC_0013207;0;1;0;0;1;0;2;1;2;0;1;2;1;1;0;1;1;2;1;1;1
ISIC_0013208;1;1;1;2;1;2;2;1;2;1;1;3;1;1;1;2;1;3;2;1;2
ISIC_0013212;1;1;2;2;1;3;2;1;3;1;1;2;1;1;2;1;1;3;2;1;2
ISIC_0013213;1;1;2;2;1;2;2;1;3;1;1;1;2;1;2;2;1;1;1;1;2
ISIC_0013217;0;1;1;1;1;3;2;1;4;0;0;2;1;1;1;2;1;2;1;1;1
ISIC_0013219;0;0;1;2;0;2;2;1;4;0;0;1;0;1;1;2;0;2;1;1;2
ISIC_0013220;2;1;3;2;1;4;2;1;4;2;1;3;2;1;3;2;1;2;2;1;3
ISIC_0013222;1;1;1;1;1;1;2;1;4;1;1;2;1;1;1;1;1;2;1;1;1
ISIC_0013223;0;0;4;0;0;4;1;0;6;1;0;3;0;1;4;1;1;2;0;0;3
ISIC_0013224;1;1;2;2;1;2;2;1;5;2;1;2;1;1;2;2;1;2;2;1;2
ISIC_0013227;0;0;1;0;0;3;0;0;3;1;0;2;0;1;2;0;1;1;0;1;2
ISIC_0013229;2;1;1;2;1;1;2;1;3;2;1;2;2;1;1;2;1;1;2;1;2
ISIC_0013233;2;1;1;2;1;1;2;1;5;1;0;1;2;1;1;2;1;1;1;1;2
ISIC_0013235;0;1;1;0;1;1;0;1;4;0;0;2;0;1;0;1;1;2;0;1;2
ISIC_0013236;1;1;3;0;1;3;2;1;3;1;1;2;2;1;2;0;1;2;2;1;3
ISIC_0013238;2;1;1;1;1;2;2;1;4;2;1;2;2;1;1;2;1;1;2;1;1
ISIC_0013243;1;1;2;2;1;3;2;1;4;1;1;2;1;1;2;1;1;2;2;1;2
ISIC_0013244;0;1;2;0;1;2;0;1;5;0;0;3;0;1;1;1;1;2;0;1;2
