ID;Symmetrie_1_1;Kleur_1_1;Rand_1_1;Symmetrie_1_2;Kleur_1_2;Rand_1_2;Symmetrie_1_3;Kleur_1_3;Rand_1_3;Symmetrie_1_4;Kleur_1_4;Rand_1_4;Symmetrie_1_5;Kleur_1_5;Rand_1_5;Symmetrie_1_6;Kleur_1_6;Rand_1_6;Symmetrie_1_7;Kleur_1_7;Rand_1_7
ISIC_0012208;1;2;2;1;1;1;2;2;2;1;2;1;1;2;1;1;2;2;1;1;1
ISIC_0012290;2;1;2;2;2;2;1;2;1;1;1;2;2;1;2;1;2;2;1;2;2
ISIC_0012298;1;1;2;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;1;2;2
ISIC_0012348;2;2;1;2;2;2;1;1;2;1;2;2;2;2;1;1;2;2;2;2;2
ISIC_0012382;1;2;2;1;2;1;1;1;1;1;2;1;1;2;2;1;2;1;1;2;2
ISIC_0012209;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1
ISIC_0012211;2;1;2;2;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;2
ISIC_0012212;1;1;2;1;1;2;2;2;2;1;1;2;1;1;2;1;2;2;1;2;2
ISIC_0012213;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2
ISIC_0012214;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1
ISIC_0012217;2;2;2;1;2;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2
ISIC_0012224;2;1;1;1;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;1;2
ISIC_0012227;1;1;1;1;2;1;2;2;1;2;2;1;2;2;1;1;2;1;1;1;1
ISIC_0012228;2;2;1;2;2;1;1;1;1;2;2;1;2;2;1;2;2;1;2;2;2
ISIC_0012230;1;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2
ISIC_0012232;2;1;2;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;2
ISIC_0012233;1;2;2;1;1;2;1;2;1;1;2;2;1;2;2;1;2;2;1;1;1
ISIC_0012235;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1
ISIC_0012237;2;1;2;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;2;2;1
ISIC_0012238;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1
ISIC_0012245;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2
ISIC_0012246;1;2;2;1;2;1;2;2;2;1;2;1;1;2;1;1;2;1;1;2;1
ISIC_0012250;1;1;2;1;1;1;2;2;2;1;2;2;1;2;2;1;2;1;1;2;1
ISIC_0012253;2;1;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1
ISIC_0012257;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2
ISIC_0012259;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2
ISIC_0012260;1;1;2;2;2;2;2;2;1;1;2;2;1;1;2;1;2;2;1;2;2
ISIC_0012261;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;2;1;2;2;1
ISIC_0012263;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2
ISIC_0012268;1;2;2;1;2;1;1;2;1;1;2;2;1;2;1;1;2;2;1;2;1
ISIC_0012271;1;2;2;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;1;2;2
ISIC_0012274;2;1;2;2;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2
ISIC_0012278;2;2;2;1;2;1;2;2;2;1;1;1;1;1;1;1;2;1;1;2;1
ISIC_0012281;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
ISIC_0012282;2;1;2;2;1;2;1;2;1;2;1;2;2;1;1;2;2;2;2;2;2
ISIC_0012284;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2
ISIC_0012285;1;2;2;2;2;1;1;1;1;1;1;2;1;1;2;1;2;1;1;2;1
ISIC_0012291;1;1;1;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1;2;1
ISIC_0012294;1;2;1;2;2;2;2;2;2;1;2;1;1;2;1;1;2;1;2;2;2
ISIC_0012299;2;2;2;2;2;1;1;2;1;2;2;1;2;2;1;2;2;1;2;2;2
ISIC_0012303;1;1;2;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1
ISIC_0012309;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2
ISIC_0012311;1;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2
ISIC_0012318;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2
ISIC_0012320;1;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2
ISIC_0012322;1;2;2;1;2;2;2;2;1;1;2;2;1;2;2;1;2;2;2;2;2
ISIC_0012324;2;2;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;2
ISIC_0012325;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2
ISIC_0012329;2;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1
ISIC_0012332;2;2;2;1;2;1;1;2;1;1;2;2;1;2;1;1;2;2;1;2;2
ISIC_0012333;2;2;2;2;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2
ISIC_0012334;2;2;2;2;1;1;2;1;2;1;2;2;1;2;2;1;2;2;2;1;2
ISIC_0012338;2;1;2;1;1;2;1;1;2;1;1;2;1;2;2;1;1;2;1;1;2
ISIC_0012339;2;2;2;1;1;2;2;2;2;1;2;1;1;2;1;1;2;1;1;2;2
ISIC_0012342;2;2;1;2;2;1;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2
ISIC_0012351;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2
ISIC_0012359;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2
ISIC_0012360;2;1;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2
ISIC_0012363;2;2;2;1;2;2;1;1;2;1;1;2;1;1;2;1;2;2;1;1;2
ISIC_0012374;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1
ISIC_0012376;1;2;2;2;1;2;2;1;1;1;2;2;1;1;2;1;2;2;1;1;2
ISIC_0012377;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2
ISIC_0012378;1;1;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2
ISIC_0012379;1;2;1;2;2;2;1;2;1;1;2;2;1;1;2;1;2;1;2;2;2
ISIC_0012381;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1
ISIC_0012384;2;2;2;1;2;1;1;2;1;1;2;1;2;2;1;1;2;1;2;2;1
ISIC_0012386;1;2;1;1;2;1;1;2;1;1;2;2;2;2;1;1;2;1;2;2;2
ISIC_0012390;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;2
ISIC_0012397;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2
ISIC_0012406;2;2;2;1;1;1;1;1;1;1;2;2;1;2;2;1;2;2;1;1;1
ISIC_0012413;1;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;2;2
ISIC_0012415;1;1;1;1;1;2;1;2;1;1;2;2;1;2;1;1;2;2;1;1;2
ISIC_0012416;1;1;1;2;1;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2
ISIC_0012433;2;1;1;2;2;1;1;2;2;1;2;1;1;2;1;1;2;1;1;2;2
ISIC_0012442;1;1;2;1;1;2;1;1;1;1;2;2;1;2;2;1;2;2;1;1;2
ISIC_0012445;1;2;2;1;2;2;2;2;1;1;2;1;1;2;1;1;2;1;1;2;2
ISIC_0012452;2;2;2;2;2;2;1;2;2;1;1;2;1;1;2;1;2;2;1;2;2
ISIC_0012453;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
ISIC_0012455;1;2;2;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1;1;2;1
ISIC_0012459;1;1;1;1;2;1;1;2;2;2;1;2;2;1;2;2;1;2;2;2;2
ISIC_0012460;1;1;2;1;1;2;1;1;1;1;2;2;1;2;2;1;2;2;1;1;1
