ID;Asymmetry_6_1;Asymmetry_6_2;Asymmetry_6_3;Border_6_1;Border_6_2;Border_6_3;Color_6_1;Color_6_2;Color_6_3;;;;;;;;;;;;;;
ISIC_0014346;0;1;1;2;2;2;1;1;2.5;;;;;;;;;;;;;;
ISIC_0014353;1;1;2;2;0;1;2;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014365;2;0;2;2;2;2;5;5;3.5;;;;;;;;;;;;;;
ISIC_0014393;0;0;0;2;0;0;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014394;0;0;2;2;2;4;2;2;2;;;;;;;;;;;;;;
ISIC_0014397;1;1;2;4;4;0;6.5;6.5;6.5;;;;;;;;;;;;;;
ISIC_0014410;1;0;1;0;2;0;2;2.5;1.5;;;;;;;;;;;;;;
ISIC_0014430;2;1;2;2;0;4;5.5;5.5;3.5;;;;;;;;;;;;;;
ISIC_0014431;0;0;0;0;0;2;1;2;2;;;;;;;;;;;;;;
ISIC_0014432;0;0;1;0;0;2;2.5;1;1;;;;;;;;;;;;;;
ISIC_0014433;1;2;2;4;4;4;3.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014438;1;1;1;0;0;2;4;4;1.5;;;;;;;;;;;;;;
ISIC_0014440;2;1;2;2;2;2;2;1;1;;;;;;;;;;;;;;
ISIC_0014441;0;0;1;0;2;2;2.5;2.5;1.5;;;;;;;;;;;;;;
ISIC_0014453;0;0;1;0;0;0;1;1;1;;;;;;;;;;;;;;
ISIC_0014458;1;0;1;2;2;2;3.5;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014469;0;0;1;0;0;0;2.5;2.5;1;;;;;;;;;;;;;;
ISIC_0014473;2;2;2;4;4;4;2;2.5;1;;;;;;;;;;;;;;
ISIC_0014475;0;0;2;0;2;4;3.5;1;1;;;;;;;;;;;;;;
ISIC_0014490;1;1;2;2;4;2;2;1;1;;;;;;;;;;;;;;
ISIC_0014498;1;0;1;0;2;0;3.5;2;1;;;;;;;;;;;;;;
ISIC_0014502;1;0;2;4;2;4;2.5;1;1;;;;;;;;;;;;;;
ISIC_0014504;0;0;1;2;0;2;3.5;4;1.5;;;;;;;;;;;;;;
ISIC_0014511;0;0;2;0;0;0;3.5;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014515;0;0;1;2;2;4;5;4;3;;;;;;;;;;;;;;
ISIC_0014516;0;0;1;0;0;0;2;3.5;2;;;;;;;;;;;;;;
ISIC_0014522;2;1;1;2;4;4;2.5;3.5;2.5;;;;;;;;;;;;;;
ISIC_0014526;1;0;1;0;0;0;2.5;2.5;1.5;;;;;;;;;;;;;;
ISIC_0014529;0;0;1;0;0;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014535;0;0;0;0;0;0;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014537;2;1;2;4;0;4;5;3.5;4;;;;;;;;;;;;;;
ISIC_0014547;0;0;1;0;2;0;2;1;1;;;;;;;;;;;;;;
ISIC_0014554;0;0;1;2;2;2;2.5;2.5;1;;;;;;;;;;;;;;
ISIC_0014569;2;0;2;2;0;0;5;5;4;;;;;;;;;;;;;;
ISIC_0014570;2;2;2;4;4;4;3.5;4;2;;;;;;;;;;;;;;
ISIC_0014571;0;0;0;0;0;2;2.5;4;1;;;;;;;;;;;;;;
ISIC_0014573;1;1;1;0;2;0;1;1;1;;;;;;;;;;;;;;
ISIC_0014576;0;0;0;0;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014577;0;2;1;2;4;2;1;1;1.5;;;;;;;;;;;;;;
ISIC_0014578;2;1;2;0;0;2;2.5;2.5;1;;;;;;;;;;;;;;
ISIC_0014579;0;1;2;2;0;4;5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014580;1;1;2;2;0;2;2.5;1;2.5;;;;;;;;;;;;;;
ISIC_0014581;2;1;2;2;0;2;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014582;2;0;2;0;2;2;2.5;2.5;1.5;;;;;;;;;;;;;;
ISIC_0014583;0;0;1;0;0;0;4;3.5;1.5;;;;;;;;;;;;;;
ISIC_0014585;0;1;2;2;2;4;2;2.5;1;;;;;;;;;;;;;;
ISIC_0014589;1;1;1;2;2;4;3.5;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014591;0;1;1;0;2;0;2;2;2;;;;;;;;;;;;;;
ISIC_0014592;0;0;1;0;0;2;2;2;2;;;;;;;;;;;;;;
ISIC_0014593;2;0;2;0;0;0;5;5;3.5;;;;;;;;;;;;;;
ISIC_0014594;0;0;0;2;0;2;5.5;5;5.5;;;;;;;;;;;;;;
ISIC_0014595;1;0;1;0;2;2;5.5;5;3;;;;;;;;;;;;;;
ISIC_0014596;1;1;2;2;2;4;2;1;1;;;;;;;;;;;;;;
ISIC_0014598;0;0;2;0;0;4;1;1;1;;;;;;;;;;;;;;
ISIC_0014599;2;2;2;4;4;4;5;5;3.5;;;;;;;;;;;;;;
ISIC_0014602;2;1;2;2;0;4;2;1;2.5;;;;;;;;;;;;;;
ISIC_0014603;2;2;2;4;4;4;3.5;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014605;2;2;2;0;4;0;3.5;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014606;0;0;1;2;2;2;4;4;4.5;;;;;;;;;;;;;;
ISIC_0014607;2;2;2;4;2;4;2;3.5;3.5;;;;;;;;;;;;;;
ISIC_0014609;2;1;2;0;2;0;5;5;5;;;;;;;;;;;;;;
ISIC_0014612;1;1;2;0;4;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014613;0;1;1;0;2;0;5.5;4;3.5;;;;;;;;;;;;;;
ISIC_0014615;1;0;2;2;2;2;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014617;0;0;1;0;2;2;4;4;4;;;;;;;;;;;;;;
ISIC_0014621;1;0;1;0;0;0;1;1;1;;;;;;;;;;;;;;
ISIC_0014622;2;1;2;2;0;2;2.5;2.5;3.5;;;;;;;;;;;;;;
ISIC_0014625;2;2;2;4;4;4;2;2;1;;;;;;;;;;;;;;
ISIC_0014628;1;0;2;0;2;0;3.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014630;0;1;1;0;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014632;1;0;1;0;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014636;1;2;2;2;2;4;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014638;2;1;2;0;4;4;2;2;2.5;;;;;;;;;;;;;;
ISIC_0014639;1;1;2;0;2;4;1;1;1;;;;;;;;;;;;;;
ISIC_0014640;1;0;1;0;2;0;3.5;2;2;;;;;;;;;;;;;;
ISIC_0014641;0;0;1;0;2;0;1;1;1.5;;;;;;;;;;;;;;
ISIC_0014642;0;0;1;0;0;2;2.5;2.5;2.5;;;;;;;;;;;;;;
ISIC_0014646;0;0;0;0;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014650;2;1;2;0;2;2;4;4;2.5;;;;;;;;;;;;;;
ISIC_0014651;0;0;2;0;0;0;2.5;1;1;;;;;;;;;;;;;;
ISIC_0014654;0;0;1;0;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014657;1;1;1;0;0;2;3;3;4.5;;;;;;;;;;;;;;
ISIC_0014658;1;1;2;2;2;4;2.5;4;5;;;;;;;;;;;;;;
ISIC_0014661;0;1;1;2;2;2;1;1;1;;;;;;;;;;;;;;
ISIC_0014664;0;1;1;2;0;2;5.5;6.5;6.5;;;;;;;;;;;;;;
ISIC_0014665;0;1;1;2;0;2;2;2;3.5;;;;;;;;;;;;;;
ISIC_0014667;0;0;2;2;0;2;1.5;3;3;;;;;;;;;;;;;;
ISIC_0014680;2;0;2;2;2;0;1;1;2.5;;;;;;;;;;;;;;
ISIC_0014682;2;2;2;4;2;4;2.5;2.5;3.5;;;;;;;;;;;;;;
ISIC_0014683;1;0;1;2;2;2;2;2;3.5;;;;;;;;;;;;;;
ISIC_0014684;1;1;1;2;2;2;2.5;2.5;2.5;;;;;;;;;;;;;;
