ID;Asymmetry_2_1;Color_2_1;ColorFade_2_1;Border_2_1;Asymmetry_2_2;Color_2_2;ColorFade_2_2;Border_2_2;Asymmetry_2_3;Color_2_3;ColorFade_2_3;Border_2_3;Asymmetry_2_4;Color_2_4;ColorFade_2_4;Border_2_4;Asymmetry_2_5;Color_2_5;ColorFade_2_5;Border_2_5;Asymmetry_2_6;Color_2_6;ColorFade_2_6;Border_2_6;Asymmetry_2_7;Color_2_7;ColorFade_2_7;Border_2_7;;;;;;;
ISIC_0012690;1;2;1;0;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;1;2;1;2;1;2;;;;;;;
ISIC_0012692;2;1;0;1;1;1;0;1;1;1;1;1;2;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;;;;;;;
ISIC_0012693;1;1;0;1;0;2;0;0;1;2;0;1;1;2;0;1;0;2;0;1;1;2;0;1;1;2;0;1;;;;;;;
ISIC_0012696;1;1;1;1;2;1;1;2;2;2;1;1;2;2;1;2;1;2;0;1;1;2;0;2;2;2;1;2;;;;;;;
ISIC_0012697;1;1;1;0;0;1;0;0;0;2;0;1;0;2;1;0;1;1;0;1;1;2;1;0;1;1;1;0;;;;;;;
ISIC_0012699;1;1;0;1;1;2;0;1;1;1;0;1;1;1;1;1;2;1;0;1;1;2;1;1;1;1;0;1;;;;;;;
ISIC_0012700;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;;;;;;;
ISIC_0012701;2;2;0;1;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;1;2;2;1;2;2;2;1;1;;;;;;;
ISIC_0012702;1;1;1;0;1;1;0;1;1;2;1;1;2;2;1;1;1;2;0;1;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012704;0;0;1;0;0;0;1;0;0;2;1;1;2;2;1;2;0;2;1;1;0;0;0;0;1;1;1;1;;;;;;;
ISIC_0012706;1;1;1;2;2;1;1;2;2;1;1;2;2;2;0;2;2;2;1;1;2;1;1;2;2;1;1;2;;;;;;;
ISIC_0012709;1;2;0;1;1;2;0;0;0;1;0;1;0;2;0;0;0;1;0;1;1;1;1;0;1;2;1;0;;;;;;;
ISIC_0012710;2;2;1;1;2;2;1;1;2;2;1;1;2;2;0;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;
ISIC_0012711;1;1;1;1;2;2;1;2;1;2;1;2;2;2;1;2;1;2;0;2;1;2;1;1;1;2;1;2;;;;;;;
ISIC_0012713;2;2;0;2;2;1;1;2;2;1;1;2;2;2;1;2;1;1;0;2;2;1;1;2;2;1;1;2;;;;;;;
ISIC_0012715;2;1;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;1;2;2;2;1;2;;;;;;;
ISIC_0012719;0;2;1;0;0;1;1;0;0;2;1;1;1;2;1;1;0;2;0;1;1;1;1;0;0;2;1;0;;;;;;;
ISIC_0012721;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;;;;;;;
ISIC_0012725;2;2;1;1;2;2;1;2;2;2;1;2;2;2;1;2;1;2;1;2;2;2;1;2;2;2;1;2;;;;;;;
ISIC_0012726;2;2;1;1;2;2;1;2;2;2;1;2;2;1;1;2;2;2;0;2;2;2;1;2;2;1;1;2;;;;;;;
ISIC_0012735;1;2;0;1;1;2;0;1;1;2;0;1;1;2;0;1;0;2;0;1;1;2;1;0;1;2;1;0;;;;;;;
ISIC_0012737;0;1;1;0;0;1;1;0;0;2;1;0;0;2;1;0;0;2;1;1;0;2;1;0;0;2;1;1;;;;;;;
ISIC_0012739;1;1;1;1;1;2;0;1;1;2;1;1;2;1;1;2;1;2;0;1;1;2;1;1;2;1;1;2;;;;;;;
ISIC_0012740;2;1;0;1;1;1;0;1;1;1;0;1;1;2;1;1;1;1;0;1;1;1;1;1;1;1;1;2;;;;;;;
ISIC_0012741;2;2;1;2;2;1;1;2;2;1;1;2;2;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;;;;;;;
ISIC_0012742;1;1;0;1;2;0;0;1;2;1;1;1;2;1;1;2;2;2;1;2;1;2;1;2;1;2;1;1;;;;;;;
ISIC_0012744;1;1;1;0;1;2;1;1;1;2;1;1;2;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012749;2;1;0;2;2;0;0;2;2;2;0;2;2;2;0;2;1;2;0;2;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012756;1;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;;;;;;;
ISIC_0012768;0;2;1;0;2;2;0;2;2;2;0;2;2;2;1;2;1;2;0;2;1;2;1;0;2;2;1;2;;;;;;;
ISIC_0012770;2;1;0;1;1;0;1;1;1;2;0;2;2;2;1;2;1;2;0;2;1;1;1;1;1;2;1;1;;;;;;;
ISIC_0012772;2;1;1;1;1;2;1;1;1;2;1;2;2;2;1;2;1;2;1;2;1;2;1;1;2;2;1;2;;;;;;;
ISIC_0012773;1;2;0;1;0;2;0;1;1;2;1;1;2;2;0;1;1;2;0;1;0;2;1;1;1;2;1;1;;;;;;;
ISIC_0012777;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;0;2;1;1;;;;;;;
ISIC_0012785;1;2;1;0;0;2;1;0;1;2;1;1;1;2;1;1;2;2;1;0;1;2;1;1;1;2;1;0;;;;;;;
ISIC_0012787;2;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;1;2;1;1;1;2;;;;;;;
ISIC_0012788;2;2;0;2;2;2;0;2;2;1;1;2;2;1;1;2;1;2;0;2;2;2;1;2;2;2;1;2;;;;;;;
ISIC_0012789;2;2;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;1;2;2;1;1;2;2;1;1;2;;;;;;;
ISIC_0012790;1;1;0;1;0;2;1;2;0;2;0;2;2;2;0;2;0;2;0;0;1;2;1;1;1;2;0;1;;;;;;;
ISIC_0012792;1;2;0;0;0;2;0;0;1;2;0;1;1;1;0;1;0;2;0;1;1;2;0;0;1;2;0;1;;;;;;;
ISIC_0012793;2;2;1;2;2;1;1;1;2;1;1;2;2;1;1;2;2;1;0;1;2;1;1;2;1;1;1;1;;;;;;;
ISIC_0012800;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;1;2;2;2;1;2;2;2;1;1;;;;;;;
ISIC_0012804;0;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;0;1;1;0;;;;;;;
ISIC_0012806;1;0;0;0;1;0;0;0;1;1;1;0;2;0;0;1;1;2;0;0;1;0;0;0;1;0;0;0;;;;;;;
ISIC_0012810;1;0;1;1;1;0;0;1;1;1;0;1;1;2;0;1;1;1;0;1;1;0;1;0;1;0;0;0;;;;;;;
ISIC_0012811;0;2;0;0;0;1;0;0;0;2;0;0;0;2;0;0;1;2;1;0;0;2;0;0;0;2;0;1;;;;;;;
ISIC_0012813;1;1;1;1;0;2;1;1;1;1;1;1;2;2;0;2;2;1;0;1;1;1;1;2;2;0;0;2;;;;;;;
ISIC_0012814;1;1;0;2;2;2;0;2;2;2;0;1;2;2;0;2;1;2;0;1;1;2;0;1;1;1;1;2;;;;;;;
ISIC_0012823;0;2;0;1;0;1;1;0;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;2;2;1;2;;;;;;;
ISIC_0012826;2;2;1;2;2;2;1;2;2;2;1;2;2;1;1;2;2;2;1;2;2;2;1;2;2;1;1;2;;;;;;;
ISIC_0012827;1;2;0;1;1;1;1;2;1;1;1;2;2;1;1;2;2;1;0;1;1;1;1;2;2;2;1;2;;;;;;;
ISIC_0012828;1;1;0;1;2;0;0;2;2;2;0;2;2;1;0;2;2;1;0;2;1;2;0;2;2;0;0;2;;;;;;;
ISIC_0012833;1;1;0;0;1;1;0;1;1;2;0;1;2;1;0;1;1;2;0;1;1;2;0;0;0;1;1;0;;;;;;;
ISIC_0012835;1;2;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;0;2;1;1;1;1;1;1;;;;;;;
ISIC_0012840;2;2;0;1;2;1;0;2;1;2;1;2;2;2;0;2;1;2;0;1;1;2;1;2;2;2;1;2;;;;;;;
ISIC_0012844;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;1;2;0;2;1;1;1;2;1;1;1;2;;;;;;;
ISIC_0012845;0;1;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;0;;;;;;;
ISIC_0012851;1;2;1;1;1;2;1;1;1;2;1;1;1;2;1;1;0;2;1;0;1;2;1;0;0;2;0;0;;;;;;;
ISIC_0012854;2;1;1;2;2;1;1;2;2;2;1;2;2;1;1;2;2;1;0;2;2;2;1;2;2;1;1;2;;;;;;;
ISIC_0012855;1;2;0;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;
ISIC_0012856;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;2;2;2;1;1;;;;;;;
ISIC_0012865;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;;;;;;;
ISIC_0012871;1;1;1;1;1;2;0;1;2;2;1;1;2;2;1;1;2;2;1;1;1;2;1;1;1;2;1;1;;;;;;;
ISIC_0012873;2;2;0;2;1;2;1;1;1;2;1;2;2;2;1;2;1;2;1;1;1;2;1;2;2;2;1;2;;;;;;;
ISIC_0012877;0;2;1;0;0;1;0;0;1;2;1;1;1;2;0;1;0;2;0;1;0;2;0;0;1;2;0;0;;;;;;;
ISIC_0012878;0;2;1;1;0;2;0;0;1;2;1;1;2;2;0;2;1;2;0;1;0;2;1;1;1;2;1;1;;;;;;;
ISIC_0012879;2;2;0;1;1;2;1;1;1;2;1;1;2;2;1;1;1;2;0;1;1;2;1;1;1;1;1;1;;;;;;;
ISIC_0012880;0;1;1;0;0;1;0;0;1;2;1;1;1;2;0;1;1;2;1;1;1;1;1;0;1;1;1;1;;;;;;;
ISIC_0012883;1;2;1;1;2;1;1;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;1;2;1;1;1;;;;;;;
ISIC_0012884;2;1;0;2;2;2;0;1;2;2;1;1;2;2;0;2;1;2;1;1;1;2;1;1;1;2;1;2;;;;;;;
ISIC_0012887;2;2;0;2;2;1;1;2;2;2;1;2;2;2;1;2;2;2;0;2;2;2;1;2;2;1;1;2;;;;;;;
ISIC_0012888;1;2;0;1;2;2;1;2;1;2;1;2;2;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
