ID;Asymmetrie_5_Annot1;Rand_5_Annot1;Compactheid_5_Annot1;Kleur_5_Annot1;Erytheem_5_Annot1;Asymmetrie_5_Annot2;Rand_5_Annot2;Compactheid_5_Annot2;Kleur_5_Annot2;Erytheem_5_Annot2;Asymmetrie_5_Annot3;Rand_5_Annot3;Compactheid_5_Annot3;Kleur_5_Annot3;Erytheem_5_Annot3;Asymmetrie_5_Annot4;Rand_5_Annot4;Compactheid_5_Annot4;Kleur_5_Annot4;Erytheem_5_Annot4;Asymmetrie_5_Annot5;Rand_5_Annot5;Compactheid_5_Annot5;Kleur_5_Annot5;Erytheem_5_Annot5
ISIC_0013805;1;1;0;1;0;1;2;1;1;0;2;2;1;1;1;0;1;1;1;0;1;1;0;1;0
ISIC_0013806;0;1;0;1;0;0;2;0;1;0;2;2;1;1;0;0;2;0;1;0;0;1;0;1;0
ISIC_0013807;0;0;0;1;0;1;1;1;1;0;2;1;1;1;0;0;1;1;1;0;1;1;0;0;0
ISIC_0013808;0;1;0;0;0;1;1;1;1;0;2;2;1;1;0;1;1;2;1;0;1;1;0;0;0
ISIC_0013816;2;2;2;1;0;2;2;1;0;0;2;2;1;1;1;0;2;0;1;0;2;2;1;1;0
ISIC_0013817;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0
ISIC_0013819;2;2;1;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;1;2;1;1;0
ISIC_0013830;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0
ISIC_0013835;2;2;2;1;0;2;2;1;1;0;2;2;2;1;1;0;2;1;1;0;2;2;2;1;0
ISIC_0013836;0;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;2;0;1;0;0;1;0;1;0
ISIC_0013837;2;1;1;0;0;2;0;2;1;0;2;1;1;1;0;0;1;1;1;0;0;0;0;1;0
ISIC_0013841;2;2;1;1;0;2;1;1;1;0;2;2;1;1;0;1;1;2;1;0;1;2;1;1;0
ISIC_0013843;2;2;1;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;1;1;1;1;1;0
ISIC_0013862;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0
ISIC_0013864;2;2;1;1;0;2;2;1;0;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0
ISIC_0013876;0;0;0;1;0;1;0;0;1;0;2;0;0;1;0;0;1;0;1;0;0;1;0;0;0
ISIC_0013879;0;2;0;1;0;1;2;1;0;0;1;2;0;1;1;0;2;0;1;0;0;2;0;1;0
ISIC_0013886;0;1;0;1;0;0;1;0;1;0;2;2;0;1;0;0;1;0;1;0;0;1;0;1;0
ISIC_0013888;0;2;0;0;0;0;1;0;1;0;2;2;1;1;0;0;1;1;1;0;0;1;0;0;0
ISIC_0013890;2;2;1;1;0;1;2;1;0;0;2;0;0;1;1;2;1;2;1;0;1;2;1;1;1
ISIC_0013896;1;2;1;1;0;1;2;1;1;0;2;0;1;1;0;1;1;2;1;0;1;1;1;1;0
ISIC_0013910;2;2;1;1;0;1;2;1;1;0;2;2;1;1;0;0;2;1;1;0;1;1;1;1;0
ISIC_0013918;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0
ISIC_0013921;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;1;1;2;1;0;1;2;2;1;0
ISIC_0013922;1;1;0;1;0;1;1;1;1;0;2;1;0;1;0;1;0;2;1;0;1;1;0;1;0
ISIC_0013927;0;1;0;1;0;1;2;0;1;0;2;0;0;1;1;0;2;0;1;1;0;2;0;1;1
ISIC_0013929;2;2;2;1;0;2;2;1;1;0;2;2;2;1;1;2;2;2;1;1;2;2;2;1;1
ISIC_0013933;2;2;2;1;0;1;2;1;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;1
ISIC_0013935;0;2;1;0;0;1;2;0;1;0;2;1;1;1;0;0;1;0;1;0;0;1;0;0;0
ISIC_0013942;1;1;1;1;0;1;1;1;1;0;2;0;0;1;1;1;0;2;1;0;0;1;0;1;0
ISIC_0013946;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;1;2;1;1;0
ISIC_0013958;2;2;2;1;0;1;1;1;1;0;2;2;1;1;1;1;2;2;1;0;2;2;2;1;0
ISIC_0013961;0;2;0;0;0;;;;;;2;2;0;0;0;1;1;1;0;0;1;2;0;0;0
ISIC_0013962;1;2;1;1;0;1;0;1;1;0;2;1;1;1;0;1;2;1;1;0;0;1;0;1;0
ISIC_0013965;2;2;1;1;0;2;2;1;1;0;2;2;2;1;0;2;2;2;1;0;2;1;2;1;1
ISIC_0013967;0;1;0;1;0;0;1;0;1;0;2;2;0;1;0;0;1;0;0;1;0;0;0;0;1
ISIC_0013970;1;1;1;0;0;2;2;2;1;0;2;0;1;1;0;0;1;2;0;0;0;0;0;0;0
ISIC_0013971;0;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;2;1;0;1;0;1;0;0
ISIC_0013980;1;2;1;1;0;1;2;1;0;0;2;1;0;1;0;0;2;2;1;0;1;2;1;1;0
ISIC_0013981;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;1;2;1;0;1;2;1;1;1
ISIC_0013982;2;2;2;1;0;1;2;2;1;0;2;2;2;1;1;2;2;2;1;1;0;2;0;1;1
ISIC_0013983;2;2;2;1;0;2;2;2;1;0;2;2;2;1;1;2;2;2;1;0;2;2;1;1;0
ISIC_0013996;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;1;1;0;1;2;1;1;0
ISIC_0014001;1;2;1;1;0;0;2;0;1;1;2;1;1;1;1;0;1;1;1;1;1;2;1;1;0
ISIC_0014004;2;2;2;1;0;2;2;1;1;0;2;2;2;1;0;2;2;2;1;0;2;1;2;1;0
ISIC_0014026;0;2;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0;0
ISIC_0014028;0;1;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;2;1;0;1;1;0;1;0
ISIC_0014029;0;1;0;1;0;0;0;1;1;0;2;1;1;1;0;0;1;2;1;0;1;1;1;1;0
ISIC_0014031;0;0;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;2;1;0;1;0;0;1;0
ISIC_0014032;2;2;2;1;0;1;1;1;1;0;2;2;2;1;1;2;2;2;1;1;1;2;0;1;1
ISIC_0014045;2;2;2;1;0;1;2;1;1;0;2;2;1;1;0;2;1;2;1;0;2;2;2;1;0
ISIC_0014046;2;2;2;1;0;1;2;1;1;0;2;2;1;1;0;1;2;1;1;0;1;1;1;1;0
ISIC_0014066;1;2;0;1;0;1;2;1;1;0;2;1;2;1;0;0;1;2;1;0;1;1;1;1;0
ISIC_0014069;2;2;2;1;0;1;2;1;1;0;2;2;2;1;1;2;2;2;1;0;2;2;2;1;1
ISIC_0014073;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;1;2;1;0;2;1;2;1;0
ISIC_0014074;2;2;2;1;1;2;2;2;1;0;2;1;2;1;0;2;2;2;1;1;1;2;1;1;1
ISIC_0014080;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;2;2;1;0;2;1;2;1;0
ISIC_0014081;1;0;0;1;0;1;1;1;1;0;2;2;1;1;0;0;0;2;1;0;1;0;1;1;0
ISIC_0014083;2;2;2;1;0;2;2;2;1;0;2;2;2;1;1;2;2;0;1;0;2;2;2;1;0
ISIC_0014089;2;2;1;1;0;1;2;1;1;0;2;2;1;1;0;1;2;1;1;0;1;1;1;1;0
ISIC_0014093;1;1;0;1;0;2;1;1;1;0;2;2;1;1;0;1;1;1;1;0;1;1;0;1;0
ISIC_0014094;1;1;0;1;0;1;1;1;1;0;2;1;1;1;0;1;1;0;1;0;0;1;0;1;0
ISIC_0014114;2;2;1;1;0;1;2;1;1;0;2;2;2;1;1;1;2;1;1;0;1;2;1;1;0
ISIC_0014120;1;1;0;1;0;1;2;1;1;0;1;0;1;1;1;0;1;2;1;0;1;2;1;1;1
ISIC_0014131;1;1;0;1;0;1;1;1;1;0;2;1;1;1;0;0;1;1;1;0;1;1;0;1;0
ISIC_0014149;2;2;2;1;0;2;2;1;1;1;2;2;2;1;1;1;1;2;1;0;2;2;1;1;0
ISIC_0014150;1;1;1;1;0;1;1;1;1;0;2;0;1;1;1;1;0;1;1;0;0;1;1;1;0
ISIC_0014158;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0
ISIC_0014164;2;2;2;1;0;1;2;1;1;0;2;2;2;1;1;1;1;2;1;0;1;2;1;1;0
ISIC_0014166;2;2;2;1;0;1;2;1;1;0;2;2;2;1;1;2;2;2;1;0;1;2;1;1;0
ISIC_0014169;1;2;1;1;0;2;2;1;1;0;2;2;1;1;1;0;2;1;1;0;2;2;1;1;1
ISIC_0014174;0;1;0;1;0;1;1;1;1;0;2;2;0;1;0;0;1;0;1;0;0;1;0;1;0
ISIC_0014179;0;2;0;1;0;1;2;1;1;0;1;0;0;1;1;0;1;0;1;0;0;2;0;1;0
ISIC_0014185;1;2;0;1;0;1;1;0;1;0;2;0;0;1;1;1;1;1;1;0;0;2;0;1;0
