ID;Asymmetry_8_1;Asymmetry_8_2;Asymmetry_8_3;Border1_8_1;Border1_8_2;Border1_8_3;Border2_8_1;Border2_8_2;Border2_8_3;Color_8_1;Color_8_2;Color_8_3;Dermo_8_1;Dermo_8_2;Dermo_8_3;Asymmetry_8_4;Asymmetry_8_5;Asymmetry_8_6;Border1_8_4;Border1_8_5;Border1_8_6;Border2_8_4;Border2_8_5;Border2_8_6;Color_8_4;Color_8_5;Color_8_6;Dermo_8_4;Dermo_8_5;Dermo_8_6
ISIC_0010075;2;2;2;4;3;4;3;2;3;4;3;4;3;2;2;;;;;;;;;;;;;;;
ISIC_0010077;0;0;0;3;3;2;3;3;3;2;1;2;2;1;2;;;;;;;;;;;;;;;
ISIC_0010078;2;2;2;2;3;2;3;2;1;4;3;4;4;3;3;;;;;;;;;;;;;;;
ISIC_0010086;2;2;2;3;2;2;5;4;5;2;2;2;3;3;3;;;;;;;;;;;;;;;
ISIC_0010087;2;2;2;2;2;2;4;3;3;3;3;3;2;1;2;;;;;;;;;;;;;;;
ISIC_0010088;0;1;0;3;3;3;3;3;3;4;4;3;3;2;3;;;;;;;;;;;;;;;
ISIC_0010090;0;0;0;2;2;2;2;3;3;4;3;3;3;1;1;;;;;;;;;;;;;;;
ISIC_0010092;0;0;0;2;3;2;3;3;4;4;3;3;3;3;3;;;;;;;;;;;;;;;
ISIC_0010093;2;2;2;4;4;5;2;1;1;4;4;4;2;3;3;;;;;;;;;;;;;;;
ISIC_0010100;1;1;1;2;1;1;2;2;2;3;3;3;1;1;2;;;;;;;;;;;;;;;
ISIC_0010102;1;1;1;3;3;3;3;2;2;3;3;3;2;2;2;;;;;;;;;;;;;;;
ISIC_0010104;2;2;2;4;3;3;4;4;5;4;4;4;2;3;3;;;;;;;;;;;;;;;
ISIC_0010105;1;1;1;4;4;4;2;1;1;4;3;3;4;2;3;;;;;;;;;;;;;;;
ISIC_0010168;2;2;2;1;2;1;3;5;5;4;4;4;2;2;2;;;;;;;;;;;;;;;
ISIC_0010170;2;2;2;3;3;3;4;4;4;3;4;3;1;1;2;;;;;;;;;;;;;;;
ISIC_0010173;0;0;0;4;4;3;2;1;1;3;3;3;3;2;3;;;;;;;;;;;;;;;
ISIC_0010176;0;1;0;1;1;1;3;3;3;5;4;4;4;4;4;;;;;;;;;;;;;;;
ISIC_0010177;1;1;1;1;1;0;3;3;3;2;2;2;1;1;0;;;;;;;;;;;;;;;
ISIC_0010180;1;1;1;3;3;3;2;1;1;2;2;2;3;2;3;;;;;;;;;;;;;;;
ISIC_0010182;2;2;2;3;3;2;3;4;4;3;3;3;3;3;4;;;;;;;;;;;;;;;
ISIC_0010184;2;2;2;2;3;2;5;5;5;3;3;3;2;3;3;;;;;;;;;;;;;;;
ISIC_0010185;2;2;2;3;3;3;4;4;4;3;3;3;3;4;4;;;;;;;;;;;;;;;
ISIC_0010186;1;1;1;3;3;3;4;2;1;2;3;3;2;3;3;;;;;;;;;;;;;;;
ISIC_0010187;1;1;1;2;2;2;4;5;4;4;4;3;3;3;3;;;;;;;;;;;;;;;
ISIC_0010191;2;2;2;3;3;3;3;2;2;3;4;4;3;3;4;;;;;;;;;;;;;;;
ISIC_0010192;1;1;1;1;1;1;2;2;2;3;3;3;3;2;2;;;;;;;;;;;;;;;
ISIC_0010193;0;0;0;1;1;1;1;1;1;2;2;2;1;1;1;;;;;;;;;;;;;;;
ISIC_0010201;1;1;1;2;2;2;2;2;2;3;3;3;4;4;4;;;;;;;;;;;;;;;
ISIC_0010202;1;1;1;2;2;1;3;3;2;3;3;2;4;4;5;;;;;;;;;;;;;;;
ISIC_0010206;;;;;;;;;;;;;;;;0;1;0;4;4;4;3;2;2;4;4;5;2;3;3
ISIC_0010212;;;;;;;;;;;;;;;;2;2;2;2;4;3;3;2;4;1;2;4;1;4;2
ISIC_0010213;;;;;;;;;;;;;;;;1;1;1;4;5;5;1;2;2;2;3;3;1;2;1
ISIC_0010215;;;;;;;;;;;;;;;;1;0;0;2;2;1;1;1;1;2;1;2;1;0;0
ISIC_0010216;;;;;;;;;;;;;;;;1;0;1;1;1;2;2;1;2;3;3;3;2;1;2
ISIC_0010219;;;;;;;;;;;;;;;;0;1;1;3;1;0;2;0;3;1;3;1;1;1;2
ISIC_0010220;;;;;;;;;;;;;;;;0;2;2;2;2;1;3;1;4;1;1;1;1;1;1
ISIC_0010222;;;;;;;;;;;;;;;;1;1;1;5;3;3;3;2;5;3;4;4;4;4;4
ISIC_0010227;;;;;;;;;;;;;;;;1;1;1;2;1;1;2;1;3;1;1;1;1;0;1
ISIC_0010229;;;;;;;;;;;;;;;;1;0;0;2;1;1;1;1;2;2;3;3;2;1;2
ISIC_0010233;;;;;;;;;;;;;;;;0;0;0;0;0;1;0;0;0;3;5;5;1;2;1
ISIC_0010234;;;;;;;;;;;;;;;;1;1;1;3;3;2;5;2;5;2;2;3;2;3;2
ISIC_0010236;;;;;;;;;;;;;;;;2;1;0;2;1;1;3;1;3;2;3;2;2;0;0
ISIC_0010237;;;;;;;;;;;;;;;;2;1;1;2;1;2;2;1;3;2;2;1;1;0;0
ISIC_0010244;;;;;;;;;;;;;;;;1;1;1;1;2;2;1;0;1;3;2;2;2;2;2
ISIC_0010246;;;;;;;;;;;;;;;;2;2;1;2;3;2;3;2;2;1;4;3;1;2;2
ISIC_0010247;;;;;;;;;;;;;;;;2;1;1;4;2;2;3;2;3;2;2;2;3;4;2
ISIC_0010248;;;;;;;;;;;;;;;;0;0;1;3;1;1;0;0;0;2;3;4;1;2;1
ISIC_0010249;;;;;;;;;;;;;;;;0;0;0;5;4;5;4;2;3;2;3;3;3;2;3
ISIC_0010254;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;2;0;0;1
ISIC_0010256;;;;;;;;;;;;;;;;1;0;1;1;1;1;1;2;1;3;2;3;2;2;4
ISIC_0010257;;;;;;;;;;;;;;;;1;0;2;0;1;4;0;1;2;3;6;5;0;0;0
ISIC_0010261;;;;;;;;;;;;;;;;2;2;2;3;2;1;5;1;4;3;3;4;3;3;3
ISIC_0010262;;;;;;;;;;;;;;;;2;0;0;4;2;2;2;2;1;2;2;2;3;2;1
ISIC_0010264;;;;;;;;;;;;;;;;0;0;0;4;4;2;1;3;0;4;4;4;2;3;3
ISIC_0010317;;;;;;;;;;;;;;;;1;1;1;3;3;2;2;2;3;2;2;2;1;0;2
ISIC_0010318;;;;;;;;;;;;;;;;2;1;1;0;2;1;1;0;3;2;2;2;1;1;1
ISIC_0010320;;;;;;;;;;;;;;;;2;1;0;1;1;0;1;1;0;2;3;3;2;2;3
ISIC_0010326;;;;;;;;;;;;;;;;2;1;1;3;3;2;1;1;1;3;4;3;1;1;2
ISIC_0010327.;;;;;;;;;;;;;;;;1;0;1;1;2;1;0;0;0;3;3;3;1;1;0
ISIC_0010330;;;;;;;;;;;;;;;;2;2;2;2;3;2;3;1;4;1;2;2;2;3;2
ISIC_0010332;;;;;;;;;;;;;;;;1;2;1;3;3;2;2;2;4;3;5;6;3;3;4
ISIC_0010333;;;;;;;;;;;;;;;;1;1;1;2;2;3;2;1;4;3;4;4;3;4;4
ISIC_0010334;;;;;;;;;;;;;;;;2;1;2;3;4;2;3;2;3;4;4;3;5;5;4
ISIC_0010336;;;;;;;;;;;;;;;;2;1;1;2;2;1;1;1;4;2;2;3;4;4;3
ISIC_0010337;;;;;;;;;;;;;;;;2;2;1;2;2;3;1;1;1;3;2;2;3;3;1
ISIC_0010339;;;;;;;;;;;;;;;;1;1;0;3;3;2;2;1;3;2;3;4;4;2;3
ISIC_0010340;;;;;;;;;;;;;;;;2;1;1;3;3;3;1;1;2;3;4;4;4;4;3
ISIC_0010341;;;;;;;;;;;;;;;;1;1;1;1;3;1;1;1;3;2;3;2;3;3;0
ISIC_0010342;;;;;;;;;;;;;;;;2;2;2;0;0;1;2;1;2;3;3;4;3;1;3
ISIC_0010344;;;;;;;;;;;;;;;;1;1;1;3;3;0;2;2;2;2;3;2;3;3;3
ISIC_0010346;;;;;;;;;;;;;;;;1;1;0;4;2;4;2;1;2;4;1;4;2;2;2
ISIC_0010348;;;;;;;;;;;;;;;;0;1;1;1;4;3;0;2;1;3;4;4;3;3;2
ISIC_0010351;;;;;;;;;;;;;;;;0;0;0;2;2;3;1;1;2;2;3;4;1;5;1
ISIC_0010356;;;;;;;;;;;;;;;;1;0;0;3;3;3;1;0;2;3;3;3;1;1;1
ISIC_0010357;;;;;;;;;;;;;;;;2;1;1;3;1;4;2;1;3;3;3;3;2;1;2
ISIC_0010362;;;;;;;;;;;;;;;;2;1;2;4;3;4;1;1;1;3;4;3;1;2;2
ISIC_0010365;;;;;;;;;;;;;;;;2;1;0;2;3;1;3;1;3;2;3;3;3;2;3
