ID;Asymmetry_5_1;Border_5_1;Color_5_1;Dermo_5_1;Blood_5_1;Asymmetry_5_2;Border_5_2;Color_5_2;Dermo_5_2;Blood_5_2;Asymmetry_5_3;Border_5_3;Color_5_3;Dermo_5_3;Blood_5_3;Asymmetry_5_4;Border_5_4;Color_5_4;Dermo_5_4;Blood_5_4;Asymmetry_5_5;Border_5_5;Color_5_5;Dermo_5_5;Blood_5_5;Asymmetry_5_6;Border_5_6;Color_5_6;Dermo_5_6;Blood_5_6
ISIC_0000444;2;2;10;2;1;1;5;10;3;1;2;;10;2;1;;;;;;;;;;;;;;;
ISIC_0000445;1;1;9;2;0;1;1;4;2;0;1;;9;2;0;;;;;;;;;;;;;;;
ISIC_0000463;0;0;3;3;0;1;1;3;1;0;0;;4;2;0;;;;;;;;;;;;;;;
ISIC_0000532;1;1;3;4;0;0;4;1;2;0;2;;2;3;0;;;;;;;;;;;;;;;
ISIC_0000534;1;1;4;2;0;0;2;5;3;0;1;;2;3;0;;;;;;;;;;;;;;;
ISIC_0000535;1;0;5;2;0;0;3;5;2;0;0;;5;2;0;;;;;;;;;;;;;;;
ISIC_0000536;1;1;5;2;0;0;2;4;0;0;2;;4;0;0;;;;;;;;;;;;;;;
ISIC_0000538;0;0;2;2;0;0;1;1;2;0;1;;2;3;0;;;;;;;;;;;;;;;
ISIC_0000539;0;0;5;3;0;1;2;4;4;0;2;;3;4;0;;;;;;;;;;;;;;;
ISIC_0000540;1;1;4;3;0;0;8;5;4;0;1;;3;3;0;;;;;;;;;;;;;;;
ISIC_0000541;1;1;4;2;1;0;5;4;2;1;2;;4;2;1;;;;;;;;;;;;;;;
ISIC_0000542;1;0;5;2;0;0;6;4;1;0;2;;5;1;0;;;;;;;;;;;;;;;
ISIC_0000543;0;1;2;3;0;0;3;1;3;0;0;;2;4;0;;;;;;;;;;;;;;;
ISIC_0000544;1;0;2;3;0;1;2;1;2;0;1;;2;2;0;;;;;;;;;;;;;;;
ISIC_0000545;0;0;3;2;0;0;0;3;2;0;1;;3;3;0;;;;;;;;;;;;;;;
ISIC_0000546;0;0;10;1;0;0;3;10;2;0;1;;10;3;0;;;;;;;;;;;;;;;
ISIC_0000556;1;1;5;1;0;2;5;5;3;0;2;;5;3;0;;;;;;;;;;;;;;;
ISIC_0000882;0;1;5;1;0;0;0;5;1;0;1;;5;1;0;;;;;;;;;;;;;;;
ISIC_0000900;0;0;11;1;0;0;0;11;0;0;1;;12;0;0;;;;;;;;;;;;;;;
ISIC_0000999;1;0;3;1;0;0;2;3;2;0;1;;3;1;0;;;;;;;;;;;;;;;
ISIC_0001960;1;1;12;1;0;1;6;11;1;0;1;;10;1;0;;;;;;;;;;;;;;;
ISIC_0002093;1;0;2;1;0;0;2;3;1;0;2;;3;2;0;;;;;;;;;;;;;;;
ISIC_0002107;0;0;4;2;0;0;1;4;3;0;1;;4;3;0;;;;;;;;;;;;;;;
ISIC_0002206;0;0;12;1;0;0;0;10;0;0;1;;10;1;0;;;;;;;;;;;;;;;
ISIC_0002246;0;0;5;1;0;0;0;4;0;0;0;;4;0;0;;;;;;;;;;;;;;;
ISIC_0002251;0;0;11;1;0;0;0;4;2;0;1;;5;2;0;;;;;;;;;;;;;;;
ISIC_0002287;1;0;10;2;0;1;3;10;2;0;2;;10;3;0;;;;;;;;;;;;;;;
ISIC_0002353;1;0;10;1;0;1;1;5;3;1;2;;5;3;0;;;;;;;;;;;;;;;
ISIC_0002374;0;0;4;1;0;0;3;5;1;0;1;;5;1;0;;;;;;;;;;;;;;;
ISIC_0002438;0;0;9;1;0;1;8;4;3;1;1;;4;3;0;;;;;;;;;;;;;;;
ISIC_0002439;0;1;3;1;0;0;7;3;3;0;1;;3;3;0;;;;;;;;;;;;;;;
ISIC_0002453;0;0;5;1;0;0;4;5;2;0;1;;5;3;0;;;;;;;;;;;;;;;
ISIC_0002459;0;0;9;1;0;0;0;5;0;0;1;;4;0;0;;;;;;;;;;;;;;;
ISIC_0002469;0;0;5;1;0;0;5;4;1;0;2;;5;1;0;;;;;;;;;;;;;;;
ISIC_0002476;1;0;10;1;0;0;3;10;1;0;1;;10;1;0;;;;;;;;;;;;;;;
ISIC_0002488;;;;;;;;;;;;;;;;0;3;12;2;0;1;4;12;2;0;2;4;11;1;0
ISIC_0002489;;;;;;;;;;;;;;;;1;4;5;2;0;1;4;4;2;0;2;5;5;3;0
ISIC_0002616;;;;;;;;;;;;;;;;0;0;10;1;0;0;1;13;1;0;0;0;15;2;0
ISIC_0002647;;;;;;;;;;;;;;;;2;2;5;2;0;2;3;5;3;0;2;6;5;3;0
ISIC_0002673;;;;;;;;;;;;;;;;0;1;4;1;0;1;2;5;2;0;0;1;4;1;0
ISIC_0002780;;;;;;;;;;;;;;;;2;4;10;2;0;2;3;10;1;0;0;0;10;1;0
ISIC_0002806;;;;;;;;;;;;;;;;0;2;10;2;0;1;1;10;2;0;1;3;13;3;0
ISIC_0002829;;;;;;;;;;;;;;;;1;4;4;2;0;0;3;3;2;0;0;0;4;2;0
ISIC_0002836;;;;;;;;;;;;;;;;1;6;10;2;0;1;1;5;2;0;0;1;11;3;0
ISIC_0002871;;;;;;;;;;;;;;;;0;3;9;1;0;0;1;11;1;0;0;0;11;2;0
ISIC_0002879;;;;;;;;;;;;;;;;2;5;3;2;0;1;5;2;2;0;0;1;5;3;0
ISIC_0002885;;;;;;;;;;;;;;;;1;4;4;2;0;1;3;3;3;0;1;1;4;3;0
ISIC_0002948;;;;;;;;;;;;;;;;1;3;12;2;0;1;2;10;2;0;2;3;14;2;0
ISIC_0002975;;;;;;;;;;;;;;;;0;5;10;1;0;0;3;3;2;0;2;3;11;1;0
ISIC_0002976;;;;;;;;;;;;;;;;0;5;10;1;0;0;4;5;1;0;2;3;5;2;0
ISIC_0003005;;;;;;;;;;;;;;;;2;6;9;2;0;2;2;3;2;0;1;1;11;1;0
ISIC_0003051;;;;;;;;;;;;;;;;1;4;3;1;0;0;6;4;2;0;2;4;5;1;0
ISIC_0003056;;;;;;;;;;;;;;;;1;2;4;1;0;1;2;4;1;0;0;1;11;2;0
ISIC_0003174;;;;;;;;;;;;;;;;1;1;3;1;0;1;1;2;2;0;0;0;3;0;0
ISIC_0003308;;;;;;;;;;;;;;;;1;0;5;1;0;0;1;11;2;0;0;0;11;2;0
ISIC_0003346;;;;;;;;;;;;;;;;1;1;4;2;0;1;2;3;3;0;2;4;10;2;0
ISIC_0003728;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;0;0;2;5;1;2;0
ISIC_0004110;;;;;;;;;;;;;;;;2;8;3;4;0;2;6;2;3;0;0;1;4;3;0
ISIC_0004115;;;;;;;;;;;;;;;;2;2;5;2;0;1;2;4;2;0;0;1;5;3;0
ISIC_0004166;;;;;;;;;;;;;;;;2;2;10;2;0;0;2;12;1;0;0;1;12;2;0
ISIC_0004168;;;;;;;;;;;;;;;;1;0;11;1;0;0;0;10;1;0;0;0;12;2;0
ISIC_0004309;;;;;;;;;;;;;;;;1;0;10;0;0;0;0;3;1;0;0;1;10;1;0
ISIC_0004346;;;;;;;;;;;;;;;;0;1;9;2;0;0;3;9;2;0;0;0;12;2;0
ISIC_0004715;;;;;;;;;;;;;;;;2;1;12;1;0;1;2;13;2;0;0;0;14;2;0
ISIC_0004985;;;;;;;;;;;;;;;;1;1;10;1;0;0;2;5;1;0;1;1;12;2;0
ISIC_0005000;;;;;;;;;;;;;;;;1;2;4;2;0;0;3;3;1;0;2;3;4;1;0
ISIC_0005187;;;;;;;;;;;;;;;;2;2;9;3;0;2;4;3;3;0;2;6;10;3;0
ISIC_0005548;;;;;;;;;;;;;;;;2;8;3;2;0;2;8;2;3;0;2;5;3;2;0
ISIC_0005555;;;;;;;;;;;;;;;;2;6;9;2;0;2;4;3;3;0;1;2;11;3;0
ISIC_0005620;;;;;;;;;;;;;;;;2;4;4;1;0;0;3;3;2;0;0;0;4;3;0
ISIC_0005639;;;;;;;;;;;;;;;;2;3;4;2;0;0;1;4;3;0;0;1;4;4;0
ISIC_0005666;;;;;;;;;;;;;;;;1;5;9;3;0;0;5;11;1;0;0;0;11;2;0
ISIC_0005787;;;;;;;;;;;;;;;;2;0;13;2;0;1;3;14;2;0;0;1;14;2;0
ISIC_0006021;;;;;;;;;;;;;;;;2;0;8;1;0;1;2;3;2;0;0;1;5;3;0
ISIC_0006114;;;;;;;;;;;;;;;;1;0;9;0;0;1;2;9;1;0;2;5;14;2;0
ISIC_0006193;;;;;;;;;;;;;;;;1;3;4;2;0;1;4;2;1;0;1;2;5;1;0
ISIC_0006326;;;;;;;;;;;;;;;;2;3;5;2;0;1;3;4;3;0;0;0;5;2;0
ISIC_0006350;;;;;;;;;;;;;;;;2;6;5;1;0;2;6;4;2;0;1;2;11;2;0
ISIC_0006612;;;;;;;;;;;;;;;;1;3;9;2;0;1;1;5;2;0;0;1;12;2;0
ISIC_0006711;;;;;;;;;;;;;;;;1;2;3;3;0;0;0;2;3;0;0;0;3;3;0
ISIC_0006776;;;;;;;;;;;;;;;;2;1;5;1;0;0;1;11;1;0;0;0;12;2;0
ISIC_0006795;;;;;;;;;;;;;;;;2;3;4;2;0;1;4;4;2;0;0;0;12;3;0
ISIC_0006800;;;;;;;;;;;;;;;;1;4;4;3;0;1;4;3;2;0;2;4;4;2;0
ISIC_0006940;;;;;;;;;;;;;;;;2;1;9;3;0;2;2;3;3;0;0;1;10;3;0
ISIC_0006982;;;;;;;;;;;;;;;;2;3;9;4;0;2;4;5;2;0;1;1;12;3;0
