ID;Asymmetry_7_1;Color_7_1;Border_7_1;Dermo_7_1;Blue_7_1;Asymmetry_7_2;Color_7_2;Border_7_2;Dermo_7_2;Blue_7_2;Asymmetry_7_3;Color_7_3;Border_7_3;Dermo_7_3;Blue_7_3;Asymmetry_7_4;Color_7_4;Border_7_4;Dermo_7_4;Blue_7_4;Asymmetry_7_5;Color_7_5;Border_7_5;Dermo_7_5;Blue_7_5;Asymmetry_7_6;Color_7_6;Border_7_6;Dermo_7_6;Blue_7_6
ISIC_0009940;2;3;1;2;0;2;3;1;1;1;2;2;1;0;0;1;2;1;2;0;2;3;1;2;0;1;2;1;2;0
ISIC_0009941;1;2;1;1;0;0;3;0;1;0;0;2;0;0;0;1;2;0;0;0;0;2;1;1;0;1;1;0;0;0
ISIC_0009942;2;5;0;1;1;0;6;0;2;2;0;3;0;0;1;0;3;0;1;0;0;4;0;1;1;0;2;0;1;0
ISIC_0009943;1;2;1;0;0;1;2;1;1;0;1;2;0;0;0;1;2;1;1;0;0;2;1;1;0;1;1;1;0;0
ISIC_0009945;2;3;1;0;1;1;4;1;2;1;1;2;0;0;0;1;2;0;0;0;1;3;0;0;0;1;2;0;0;0
ISIC_0009946;2;2;1;1;0;0;3;1;1;0;0;1;1;0;0;1;2;1;1;0;0;2;1;1;0;1;1;0;0;0
ISIC_0009947;2;1;1;0;0;0;2;0;1;0;1;2;0;1;0;1;2;1;1;0;0;2;0;1;0;1;1;0;0;0
ISIC_0009949;2;1;1;0;0;1;3;0;1;0;1;3;1;1;0;1;3;0;1;0;0;3;0;1;0;1;2;0;0;0
ISIC_0009951;2;2;1;1;0;1;2;1;2;0;0;2;1;0;0;1;2;1;1;0;1;3;1;1;0;1;2;1;1;0
ISIC_0009953;2;1;1;0;0;2;3;1;1;1;2;2;1;1;0;2;2;0;1;0;2;2;0;1;0;1;1;0;1;0
ISIC_0009954;0;2;1;0;0;1;2;1;1;0;1;1;0;1;0;1;2;1;0;0;0;2;1;0;0;0;1;1;0;0
ISIC_0009956;0;1;0;0;0;0;2;0;1;0;0;2;0;0;0;0;2;0;1;0;0;2;0;1;0;1;1;0;1;0
ISIC_0009958;2;1;1;0;0;1;2;1;1;0;1;2;0;1;0;2;2;1;1;0;1;2;1;1;0;1;1;0;0;0
ISIC_0009961;1;2;1;1;0;0;4;1;2;0;0;2;1;1;0;1;2;1;1;0;0;3;0;2;1;1;2;0;1;0
ISIC_0009962;2;1;1;0;0;2;2;1;1;0;2;2;1;1;0;2;3;1;1;0;2;2;1;1;0;2;2;0;0;0
ISIC_0009963;2;1;1;0;1;1;2;0;0;0;1;2;1;0;0;1;2;1;0;0;1;2;1;1;0;1;1;1;0;0
ISIC_0009964;2;1;0;0;0;0;2;1;0;0;1;2;1;0;0;1;2;1;1;0;1;2;0;1;0;1;1;0;1;0
ISIC_0009965;2;2;1;1;1;2;3;1;1;0;2;3;1;1;0;2;2;1;1;0;2;3;0;1;0;1;2;0;1;0
ISIC_0009966;0;2;0;1;0;1;3;0;1;0;0;2;0;1;0;0;2;0;1;0;0;2;0;1;0;0;1;0;0;0
ISIC_0009967;0;1;0;0;0;0;2;0;1;0;0;2;0;1;0;0;2;0;1;1;0;2;0;1;1;0;1;0;0;0
ISIC_0009968;2;2;1;1;0;2;2;1;0;0;1;2;1;1;0;2;2;1;0;0;2;2;1;1;0;2;2;1;0;0
ISIC_0009969;1;1;1;0;1;0;2;0;1;0;1;2;1;2;1;0;2;0;2;0;0;2;1;1;0;0;1;0;1;0
ISIC_0009972;2;2;1;0;0;2;3;0;0;0;0;2;1;0;0;1;2;1;0;0;0;2;0;2;0;0;1;0;0;0
ISIC_0009973;0;2;0;0;1;0;4;0;0;1;0;3;0;0;1;0;2;0;1;1;0;4;0;0;1;0;2;0;0;1
ISIC_0009974;0;2;1;1;0;1;3;0;1;0;0;2;0;1;1;1;2;0;1;0;0;2;1;0;0;0;1;1;1;0
ISIC_0009975;2;2;1;1;0;1;2;0;1;0;1;3;0;1;0;1;2;0;1;0;1;2;0;1;0;1;1;0;1;0
ISIC_0009976;2;1;1;0;0;1;3;1;1;0;1;2;1;1;0;1;2;1;0;0;1;2;1;2;0;1;1;0;0;0
ISIC_0009977;2;2;1;1;1;1;3;0;1;1;1;2;1;0;1;1;2;1;1;0;1;1;1;0;1;1;2;0;1;0
ISIC_0009979;2;1;1;0;0;0;3;1;1;0;1;2;1;1;0;0;2;1;1;0;0;2;1;1;0;0;2;0;1;0
ISIC_0009981;2;1;1;0;0;1;2;0;1;0;1;2;1;0;0;0;1;1;1;0;0;2;1;1;0;0;1;0;0;0
ISIC_0009982;2;2;1;0;0;1;2;0;1;0;1;3;0;0;0;1;1;1;0;0;1;2;1;1;0;1;1;0;1;0
ISIC_0009987;2;5;1;1;1;1;3;0;1;0;1;2;0;1;0;2;2;1;1;1;1;4;0;1;1;1;2;0;0;1
ISIC_0009991;2;1;1;0;0;1;2;0;1;0;1;2;0;0;0;1;2;0;1;0;1;2;0;1;0;1;1;0;0;0
ISIC_0009994;2;1;1;0;0;1;2;0;0;0;1;3;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0;0
ISIC_0009998;2;1;1;0;0;1;3;0;1;0;1;1;0;1;0;1;2;1;1;0;1;2;0;2;0;1;2;0;0;0
ISIC_0010002;1;1;0;1;0;0;3;0;1;0;NaN;NaN;NaN;NaN;NaN;1;2;0;1;0;0;1;0;1;0;NaN;NaN;NaN;NaN;NaN
ISIC_0010003;2;1;1;0;0;1;3;0;1;0;0;3;0;0;0;1;2;1;0;0;1;3;0;1;0;1;2;0;1;0
ISIC_0010005;2;1;1;0;0;1;3;1;1;0;2;2;0;0;0;1;3;1;1;0;1;4;1;1;0;1;3;1;1;0
ISIC_0010006;1;1;1;0;0;1;3;1;1;0;0;2;0;1;0;0;2;1;1;0;0;2;0;1;0;0;1;0;0;0
ISIC_0010013;1;2;1;0;1;0;3;0;1;1;0;2;0;0;1;1;3;1;1;1;1;3;1;1;0;0;2;0;1;0
ISIC_0010014;2;1;1;0;0;1;3;1;1;0;1;2;0;1;0;1;2;1;1;0;1;2;1;1;0;1;1;0;1;0
ISIC_0010015;2;1;1;0;0;1;2;0;1;0;2;2;0;0;0;1;2;0;1;0;1;3;0;1;0;1;1;0;0;0
ISIC_0010017;2;1;1;1;0;0;3;0;1;0;0;2;0;1;0;1;2;1;1;0;0;2;1;2;0;1;1;0;0;0
ISIC_0010018;0;2;1;1;0;0;4;0;1;0;0;2;0;1;0;0;3;0;1;0;0;4;0;1;0;0;2;0;1;0
ISIC_0010019;1;1;1;0;0;1;2;0;1;0;1;2;1;1;0;1;2;0;0;0;1;2;0;1;0;1;1;0;0;0
ISIC_0010020;2;1;1;0;0;2;2;1;1;0;2;2;0;1;0;2;2;1;1;0;2;1;1;1;0;2;1;1;1;0
ISIC_0010021;2;2;1;1;0;1;3;0;2;0;1;3;0;2;0;1;3;1;2;0;1;4;1;2;0;1;3;1;2;0
ISIC_0010022;1;1;0;1;0;1;3;0;1;0;1;2;0;1;0;1;2;1;1;0;1;2;0;1;0;1;2;0;1;0
ISIC_0010025;0;1;0;0;0;1;2;0;0;0;2;2;0;0;0;1;2;0;0;0;1;1;0;1;0;1;1;0;0;0
ISIC_0010028;0;1;0;0;0;0;2;0;1;0;0;2;1;1;0;0;2;0;0;0;0;2;1;1;0;0;1;0;0;0
ISIC_0010032;1;2;1;1;0;1;2;1;1;0;1;3;0;0;0;1;3;0;0;0;1;3;1;0;0;1;2;1;0;0
ISIC_0010040;0;1;1;0;0;2;3;1;1;0;1;2;0;1;0;2;3;1;1;0;1;2;1;1;0;2;2;1;0;0
ISIC_0010042;2;3;1;2;1;2;3;1;1;1;NaN;NaN;NaN;NaN;NaN;2;3;1;2;0;2;2;1;0;1;2;3;1;1;0
ISIC_0010043;2;2;1;1;0;2;3;1;0;0;1;3;1;0;0;1;2;1;1;0;1;3;1;1;0;1;2;1;1;0
ISIC_0010044;0;2;0;1;0;0;3;0;2;0;0;2;0;1;0;0;3;0;2;0;0;5;0;2;0;0;3;0;2;0
ISIC_0010046;1;2;1;0;0;0;2;0;0;0;2;2;0;0;0;1;2;1;1;0;0;2;1;0;0;1;1;1;1;0
ISIC_0010047;1;1;0;0;0;1;2;0;1;0;2;2;1;0;0;1;2;0;1;0;0;2;0;2;0;1;1;0;1;0
ISIC_0010051;2;1;1;1;0;2;2;1;1;0;2;1;0;0;0;2;2;1;1;1;1;2;1;1;0;2;1;1;1;0
ISIC_0010053;0;1;0;0;0;1;2;1;1;0;0;2;1;0;0;0;2;1;2;0;1;2;1;1;0;0;1;0;0;0
ISIC_0010055;2;1;1;0;0;2;1;2;1;0;1;2;1;0;0;2;2;1;0;0;1;2;1;1;0;2;1;1;0;0
ISIC_0010057;1;1;1;0;0;2;2;1;2;0;1;3;1;0;0;1;3;1;1;0;2;2;1;2;0;1;1;0;1;0
ISIC_0010058;2;1;1;0;0;1;2;1;1;1;NaN;2;1;1;0;2;2;1;1;0;1;2;0;1;1;1;1;1;0;0
ISIC_0010059;2;1;1;0;0;2;2;1;1;0;1;2;0;0;0;1;2;1;0;0;1;2;0;0;0;1;2;0;0;0
ISIC_0010060;2;1;1;0;0;1;1;1;1;0;0;2;1;0;0;1;2;1;0;0;1;2;1;1;0;1;1;0;0;0
ISIC_0010061;2;1;1;0;0;2;2;1;1;0;1;2;1;0;0;2;2;1;0;0;1;2;0;0;0;1;1;0;0;0
ISIC_0010062;1;1;1;0;0;1;3;1;1;0;0;3;1;1;0;0;2;1;1;1;0;2;0;1;1;0;1;0;1;1
ISIC_0010063;0;1;1;1;0;1;2;0;1;0;NaN;2;0;1;0;NaN;2;1;1;0;1;2;0;1;0;NaN;1;NaN;0;0
ISIC_0010064;0;3;0;0;0;1;2;1;1;1;0;3;1;0;1;0;2;1;2;1;0;3;0;1;0;0;2;0;0;1
ISIC_0010066;2;1;1;0;0;2;3;1;2;0;1;2;0;0;0;0;2;1;2;0;0;3;0;2;0;0;2;0;1;0
ISIC_0010069;2;1;0;0;0;2;2;1;1;0;0;2;1;0;0;1;2;1;0;0;1;2;0;0;0;1;1;0;0;0
