ID;Asymmetry_1;Asymmetry_2;Asymmetry_3;Border_1;Border_2;Border_3;Color_1;Color_2;Color_3;Kleur_1;Kleur_2;Kleur_3
ISIC_0000130;3;3;3;2;2;2;2;1;2;0,1;0,3;0,1
ISIC_0000131;1;1;1;1;1;1;2;2;2;1,2;1,2;1,2
ISIC_0000132;2;2;2;2;3;2;2;2;2;1,4;1,4;1,4
ISIC_0000133;1;1;1;2;2;2;2;2;2;0,6;0,6;0,6
ISIC_0000134;1;1;1;2;2;3;3;3;3;0,4;0,4;0,4
ISIC_0000135;2;2;2;2;3;2;4;3;4;0,1;0,3;0,3
ISIC_0000136;2;2;2;3;2;3;4;4;4;0,13;0,3;0,33
ISIC_0000137;2;2;2;2;2;2;2;2;2;1,4;0,5;1,4
ISIC_0000138;1;1;1;1;1;1;2;2;2;0,8;2;0,8
ISIC_0000177;2;4;2;3;3;3;2;3;2;0,8;2,2;0,8
ISIC_0000179;3;2;4;4;5;4;4;4;4;1,2;1,2;1,2
ISIC_0000181;1;2;1;3;2;3;3;4;3;2;2;2
ISIC_0000182;1;1;1;2;3;2;2;3;2;1,4;0,5;1,4
ISIC_0000184;2;2;2;5;5;5;3;3;3;0,8;0,3;0,8
ISIC_0000185;2;3;3;2;2;2;2;2;2;0,4;0,4;0,4
ISIC_0000186;1;1;1;1;1;1;2;2;2;0,8;0,8;0,8
ISIC_0000188;3;3;3;1;1;1;2;3;3;1,4;1,4;1,4
ISIC_0000189;1;4;1;3;4;3;2;2;2;0,4;0,4;0,4
ISIC_0000190;4;3;4;1;2;1;2;2;2;0,4;0,4;0,4
ISIC_0000191;2;2;2;2;2;2;2;3;2;0,44;0,34;0,44
ISIC_0000192;1;2;1;2;2;2;4;4;4;2,06;2;2,06
ISIC_0000193;1;2;1;3;2;3;2;4;2;2;0,8;2
ISIC_0000196;2;2;2;3;3;4;3;3;3;0,6;0,6;0,6
ISIC_0000197;2;2;2;2;3;2;3;3;3;0,6;0,6;0,6
ISIC_0000198;1;1;1;1;1;1;1;1;1;2,2;2,2;2,2
ISIC_0000199;1;1;1;2;2;2;2;2;2;0,34;0,3;0,34
ISIC_0000201;2;2;2;2;2;2;1;2;1;0,8;0,3;0,8
ISIC_0000202;2;2;2;3;4;3;3;2;3;1,4;0,6;1,4
ISIC_0000203;2;2;2;2;3;2;3;2;3;1,4;1,4;1,4
ISIC_0000204;2;2;2;1;1;1;2;2;2;0,6;0,4;0,6
ISIC_0000205;1;2;1;3;3;3;2;3;2;1,5;1,5;1,5
ISIC_0000206;3;3;3;3;3;4;3;3;3;0,45;0,7;0,45
ISIC_0000207;2;2;2;2;4;2;3;2;3;1,4;0,6;1,4
ISIC_0000208;2;2;3;2;4;2;2;2;2;1,4;1,4;1,4
ISIC_0000209;2;2;2;2;2;3;3;3;3;1,1;0,6;1,1
ISIC_0000211;1;1;1;2;2;2;2;1;2;0,4;0,4;0,4
ISIC_0000212;2;2;2;1;2;1;3;2;3;0,6;0,4;0,6
ISIC_0000213;3;3;3;2;3;2;2;2;2;1,4;1,4;1,4
ISIC_0000214;3;4;4;2;2;2;3;2;3;0,1;0,3;0,1
ISIC_0000215;3;3;3;4;4;4;3;3;3;1,4;1,4;1,4
ISIC_0000216;1;1;1;2;2;2;2;2;2;0,4;0,4;0,4
ISIC_0000217;3;3;3;2;2;2;2;2;2;0,5;0,5;0,5
ISIC_0000218;2;2;2;2;2;2;2;2;2;0,2;0,4;0,2
ISIC_0000219;3;3;3;5;5;5;3;3;3;0,41;0,41;0,41
ISIC_0000220;2;2;2;2;2;2;2;2;2;0,5;0,6;0,5
ISIC_0000221;1;1;1;1;2;1;2;2;2;0,3;0,3;0,3
ISIC_0000222;2;2;2;2;2;2;2;2;3;0,4;0,4;0,4
ISIC_0000223;2;2;2;3;2;3;2;2;2;0,6;0,6;0,6
ISIC_0000224;3;3;3;2;2;2;4;4;4;0,22;0,3;0,22
ISIC_0000225;1;1;1;1;1;1;2;2;2;0,3;0,3;0,3
ISIC_0000226;2;2;2;2;2;2;2;2;2;1,3;0,4;1,3
ISIC_0000227;2;2;2;1;2;1;2;2;2;0,3;0,3;0,3
ISIC_0000229;5;5;5;2;2;2;3;3;3;0,4;0,4;0,4
ISIC_0000231;2;1;2;2;2;2;2;2;2;0,6;0,4;0,44
ISIC_0000232;1;2;1;1;2;1;2;2;2;1,4;0,4;1,4
ISIC_0000233;1;1;1;2;2;2;3;3;3;1,5;1,5;1,41
ISIC_0000234;1;1;1;3;3;3;3;3;3;1,4;1,4;1,4
ISIC_0000235;1;1;1;5;5;5;4;4;4;2,1;2,1;2,1
ISIC_0000236;2;3;2;4;3;4;3;3;3;0,4;0,8;0,4
ISIC_0000237;3;3;3;3;4;4;3;3;4;0,4;0,4;0,4
ISIC_0000239;2;2;2;1;2;1;1;1;1;0,1;0;0,1
ISIC_0000240;2;2;3;3;4;3;2;2;2;1,45;1,45;1,45
ISIC_0000242;4;4;4;4;4;4;3;3;3;0,5;0,5;0,5
ISIC_0000243;1;1;1;4;4;5;2;2;2;0,5;0,4;0,5
ISIC_0000244;1;1;1;4;4;4;4;4;4;0,51;0,5;0,51
ISIC_0000245;1;2;2;5;5;5;2;3;2;0,7;0,5;0,45
