ID;Symmetrie_01_1;Symmetrie_01_2;Symmetrie_01_3;Grens_01_1;Grens_01_2;Grens_01_3;Kleuruniformiteit_01_1;Kleuruniformiteit_01_2;Kleuruniformiteit_01_3;Kleur_01_1;Kleur_01_2;Kleur_01_3;Compactness_01_1;Compactness_01_2;Compactness_01_3
ISIC_0000054;1;1;2;2;2;2;1;1;1;1;1;1;1;2;2
ISIC_0000055;1;2;2;1;2;2;2;2;2;1;1;1;1;1;1
ISIC_0000056;2;1;2;2;2;2;1;1;1;1;1;2;1;1;1
ISIC_0000057;0;1;1;0;1;0;1;1;2;1;0;1;0;1;1
ISIC_0000059;1;1;1;2;2;2;1;0;0;2;1;2;1;0;1
ISIC_0000061;0;1;0;1;1;1;2;1;1;2;1;2;0;1;0
ISIC_0000062;1;2;0;0;0;0;1;1;1;2;2;2;1;2;2
ISIC_0000063;0;1;1;1;1;1;2;2;1;2;2;2;1;2;2
ISIC_0000064;0;0;1;0;1;0;1;1;0;2;2;2;1;1;1
ISIC_0000065;0;1;1;0;0;0;1;1;0;2;2;2;1;1;1
ISIC_0000066;1;2;1;1;1;1;2;2;1;2;2;2;1;1;1
ISIC_0000067;1;1;1;1;0;1;2;2;1;2;2;2;1;1;2
ISIC_0000068;0;1;0;0;0;0;1;1;1;1;1;2;1;2;1
ISIC_0000069;1;1;1;0;1;1;1;1;1;1;1;1;1;1;2
ISIC_0000071;0;1;2;0;1;0;2;2;2;0;0;0;0;0;0
ISIC_0000072;1;1;1;1;1;1;1;2;1;2;2;2;0;2;2
ISIC_0000073;0;1;1;0;1;0;0;0;1;2;2;2;0;1;1
ISIC_0000074;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
ISIC_0000075;0;0;1;0;1;0;2;0;1;1;1;1;0;1;0
ISIC_0000077;1;1;1;1;2;2;2;1;2;0;0;0;1;2;2
ISIC_0000078;1;1;2;1;1;1;1;2;2;1;1;1;0;2;2
ISIC_0000079;2;1;2;1;2;1;1;2;1;1;1;1;1;2;2
ISIC_0000080;0;0;1;0;1;0;1;2;1;2;2;2;0;0;0
ISIC_0000081;1;2;2;2;2;2;2;2;2;0;1;1;2;2;2
ISIC_0000082;0;1;1;1;1;1;1;1;1;2;1;2;1;1;1
ISIC_0000085;1;1;1;2;1;2;2;1;1;2;1;2;1;2;2
ISIC_0000086;0;0;0;1;1;1;2;1;1;2;1;1;1;1;2
ISIC_0000087;0;1;1;1;1;1;2;1;1;1;1;1;0;1;1
ISIC_0000088;1;2;2;1;1;0;2;1;0;2;2;2;1;2;2
ISIC_0000089;2;2;2;1;1;1;2;2;1;2;2;2;1;2;2
ISIC_0000091;0;1;1;0;2;0;2;0;0;0;0;0;0;0;0
ISIC_0000092;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
ISIC_0000093;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0
ISIC_0000094;1;1;1;2;2;2;1;1;2;0;1;2;0;1;0
ISIC_0000095;1;1;1;1;1;1;2;1;1;1;2;2;1;2;1
ISIC_0000096;1;0;2;2;2;2;1;1;2;1;1;1;1;2;2
