ID;Kleur_1;Asymmetrie_1;Compactness_1;Kleur_2;Asymmetrie_2;Compactness_2;Kleur_3;Asymmetrie_3;Compactness_3;Kleur_4;Asymmetrie_4;Compactness_4;Kleur_5;Asymmetrie_5;Compactness_5;Kleur_6;Asymmetrie_6;Compactness_6;Kleur_7;Asymmetrie_7;Compactness_7
ISIC_0010074;1.5;1;1;1;1;0;1;2;2;1;2;1;1;1;1;1;1;1;1.5;1;1
ISIC_0010075;1;1;1;1;1;0;1.5;2;2;1.5;2;2;1;2;2;1;2;2;1;1;1
ISIC_0010077;0.5;0;0;0;1;2;1;0;0;0.5;0;0;0.5;0;0;0.5;0;0;0.5;0;0
ISIC_0010078;1.5;1;1;2;1;0;2;1;2;2;2;2;1.5;1;0;1.5;0;1;1.5;1;1
ISIC_0010080;1;1;1;1;1;2;1.5;0;1;1.5;1;1;1;0;0;1;0;0;1;1;1
ISIC_0010081;2;2;1;2;0;0;2;2;2;0.5;2;2;1;2;2;1.5;2;1;2;2;1
ISIC_0010086;1;2;2;0.5;2;2;1;2;2;1;2;2;0.5;1;1;1;1;1;1;2;2
ISIC_0010087;1;1;1;0.5;1;1;1.5;0;0;1;1;1;1.5;1;0;1.5;0;0;1;1;1
ISIC_0010088;1.5;0;0;1;1;2;1.5;0;0;1;0;1;2;0;0;1.5;0;0;1.5;0;0
ISIC_0010089;1.5;1;1;1.5;0;1;1.5;0;1;1.5;0;1;1.5;0;0;1.5;0;0;1.5;1;1
ISIC_0010090;1;0;0;1;1;1;0.5;0;1;1;1;0;1;0;0;1.5;0;1;1;0;0
ISIC_0010092;1.5;1;0;1;0;2;1.5;0;1;1.5;1;1;1.5;0;0;1.5;0;1;1.5;1;0
ISIC_0010093;1;1;1;1;1;0;1.5;1;2;1;2;2;1;2;2;1.5;1;2;1;1;1
ISIC_0010094;1;1;1;2;1;2;1.5;1;2;1.5;1;1;1.5;0;1;1.5;0;0;1;1;1
ISIC_0010100;0;1;1;0;0;0;0;0;1;0.5;0;0;0.5;1;1;0.5;1;0;0;1;1
ISIC_0010102;0.5;2;2;1;0;0;1;2;2;1;2;2;1;2;2;1;2;2;0.5;2;2
ISIC_0010104;1;1;1;1;1;2;1;2;2;1;1;1;0.5;1;1;1;2;1;1;1;1
ISIC_0010105;1.5;1;1;0.5;0;0;2;1;1;1.5;1;1;2;1;1;1.5;1;1;1.5;1;1
ISIC_0010168;1;1;2;1;1;2;1;1;2;1.5;2;1;2;2;1;1.5;2;1;1;1;2
ISIC_0010170;1;1;2;0.5;2;2;1;2;1;1;2;1;1;2;1;1;2;1;1;1;2
ISIC_0010171;1;1;1;1;1;0;1.5;1;1;1.5;1;1;1.5;1;1;1;1;1;1;1;1
ISIC_0010173;1;1;1;1;0;0;1.5;0;1;0.5;1;1;1;1;0;1.5;0;0;1;1;1
ISIC_0010174;2;2;2;2;1;1;2;2;2;1.5;2;1;1.5;2;2;1.5;2;2;2;2;2
ISIC_0010176;1;0;0;1;1;2;1.5;0;1;1.5;1;1;1;1;1;1;0;0;1;0;0
ISIC_0010177;0.5;0;1;0.5;1;1;0;1;0;0.5;0;0;0.5;1;0;0.5;0;0;0.5;0;1
ISIC_0010178;1;0;0;0.5;0;1;0.5;0;0;0.5;0;0;0.5;0;0;1;0;0;1;0;0
ISIC_0010180;0.5;1;2;0.5;0;0;1;2;2;1;2;1;1;2;2;1;2;2;0.5;1;2
ISIC_0010182;1;1;1;1;2;1;1.5;1;0;1;1;0;1;1;1;1.5;0;0;1;1;1
ISIC_0010184;1;1;2;1;2;2;1;1;1;1;1;1;1;1;2;1.5;2;2;1;1;2
ISIC_0010185;2;2;1;1.5;1;2;2;2;1;1.5;2;2;1.5;2;1;2;2;1;2;2;1
ISIC_0010186;1;1;2;0.5;0;0;1;1;1;1;2;1;1;2;2;1;0;0;1;1;2
ISIC_0010187;1;2;1;1.5;2;2;1.5;1;1;1.5;1;1;1;1;1;1.5;2;2;1;2;1
ISIC_0010191;1;1;2;1.5;1;1;1.5;1;1;1.5;1;1;1.5;2;1;1.5;2;2;1;1;2
ISIC_0010192;1;0;1;1.5;0;2;1;0;1;1.5;1;1;1;0;1;1;0;1;1;0;1
ISIC_0010193;0.5;0;0;0.5;0;0;0.5;0;0;0.5;0;0;0.5;0;0;1;0;0;0.5;0;0
ISIC_0010194;1;2;2;2;1;2;2;2;2;1.5;2;2;1.5;2;1;2;2;2;1;2;2
ISIC_0010201;1;1;1;1;1;2;1.5;1;0;1.5;1;1;1.5;1;1;1.5;2;1;1;1;1
ISIC_0010202;1;1;1;1;2;2;1;0;0;1.5;0;1;1;1;2;1.5;0;0;1;1;1
ISIC_001025;1;0;0;1.5;0;2;1;0;0;1.5;0;0;2;0;0;1.5;0;0;1;0;0
ISIC_0010206;1.5;1;1;1.5;1;0;1.5;1;1;1.5;1;1;1.5;0;1;2;1;2;1.5;1;1
ISIC_0010207;1.5;2;2;1;1;2;0.5;1;1;1;1;1;1;1;1;1;1;1;1.5;2;2
ISIC_0010212;1;2;2;2;2;2;1.5;1;2;1.5;2;2;1.5;0;1;2;2;2;1;2;2
ISIC_0010213;1.5;2;2;1;1;0;2;1;0;1.5;1;0;1.5;0;1;2;1;1;1.5;2;2
ISIC_0010215;1;1;1;1;0;0;0.5;0;0;1;0;0;1;0;0;1;0;0;1;1;1
ISIC_0010216;1;1;1;2;0;0;1;1;0;1.5;1;1;1.5;1;1;1.5;0;0;1;1;1
ISIC_0010219;0.5;1;1;0.5;0;2;0;0;1;0.5;1;1;1;1;1;1;0;1;0.5;1;1
ISIC_0010220;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;0;0;1;2;2
ISIC_0010222;1.5;2;2;2;2;0;1.5;2;2;1.5;2;2;1.5;2;2;1.5;2;2;1.5;2;2
ISIC_0010225;1;2;2;1;2;2;1;1;1;1;0;1;1.5;2;2;1.5;0;1;1;2;2
ISIC_0010227;0.5;2;2;0.5;1;2;0.5;1;1;0.5;1;1;1;2;2;1;0;1;0.5;2;2
ISIC_0010229;1.5;1;1;1.5;0;1;1.5;0;1;1.5;0;1;1.5;0;0;1.5;0;0;1.5;1;1
ISIC_0010231;1.5;2;2;1;1;0;0.5;2;2;1;1;2;0.5;2;2;1.5;2;2;1.5;2;2
ISIC_0010233;1;0;1;1.5;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1
ISIC_0010234;1.5;1;1;2;0;0;1.5;2;2;1.5;1;1;1.5;2;1;2;0;0;1.5;1;1
ISIC_0010236;1;1;1;1;2;2;0.5;1;0;1;1;1;1;1;1;0.5;0;0;1;1;1
ISIC_0010237;1;1;1;1;1;0;0.5;2;0;1;0;1;1;1;1;1.5;0;0;1;1;1
ISIC_0010240;1.5;2;2;2;2;2;2;1;1;1.5;1;1;1;2;1;1;0;0;1.5;2;2
ISIC_0010241;1;2;2;0.5;1;2;1;0;1;1;1;1;0.5;0;2;1;0;0;1;2;2
ISIC_0010244;1;1;1;1.5;0;0;2;0;0;1.5;0;0;2;1;1;1;1;0;1;1;1
ISIC_0010246;0.5;2;2;1;2;2;0.5;2;2;1;1;1;1;0;1;1;2;1;0.5;2;2
ISIC_0010247;1;1;2;1;2;2;1.5;1;1;1.5;1;1;1.5;1;1;1.5;1;1;1;1;2
ISIC_0010248;1;1;1;1;0;0;1.5;0;0;1;0;0;1;2;1;1;0;0;1;1;1
ISIC_0010249;1.5;1;1;1;0;0;2;2;2;1;2;1;1.5;2;2;1.5;2;1;1.5;1;1
ISIC_0010251;2;2;1;1.5;1;1;1;1;0;1.5;2;1;1.5;1;1;1;1;1;2;2;1
ISIC_0010254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0
ISIC_0010255;1.5;1;1;2;1;1;1.5;0;1;1.5;0;0;2;0;0;1.5;0;0;1.5;1;1
ISIC_0010256;1.5;0;0;2;1;1;1.5;0;0;1.5;1;1;2;0;0;1.5;0;0;1.5;0;0
ISIC_0013174;0.5;2;2;0.5;1;1;0.5;0;0;0.5;0;1;0.5;0;0;0.5;0;0;0.5;2;2
ISIC_0013177;2;2;2;2;1;0;2;2;1;1.5;2;1;2;2;1;1;1;1;2;2;2
ISIC_0013178;2;2;2;2;2;1;1.5;1;2;1;2;1;1;2;2;1.5;2;1;2;2;2
ISIC_0013189;1.5;2;2;2;1;1;2;2;2;1;2;0;1.5;2;1;1.5;2;1;1.5;2;2
ISIC_0013200;1;0;0;0.5;1;1;0;0;0;0.5;0;0;0.5;0;0;0.5;0;0;1;0;0
ISIC_0013223;1;1;1;1.5;1;1;2;0;0;1.5;0;0;1;0;0;1;0;0;1;1;1
ISIC_0013236;1.5;2;2;0.5;2;2;2;0;0;1.5;0;1;1;0;1;1;0;0;1.5;2;2
ISIC_0013268;2;1;1;0;0;0;2;1;0;1.5;2;2;0;0;0;0.5;0;0;2;1;1
ISIC_0013316;2;1;1;2;1;2;2;1;0;1.5;1;0;2;1;1;2;0;0;2;1;1
ISIC_0013333;1;2;2;0.5;1;1;0.5;1;1;0.5;1;1;1;1;1;1;1;0;1;2;2
ISIC_0013335;1.5;2;1;1;1;2;1.5;1;1;1;1;1;1.5;0;1;1;0;1;1.5;2;1
ISIC_0013341;2;1;1;2;0;0;2;0;1;2;1;1;2;0;1;2;0;0;2;1;1
