ID;Symmetrie_1;Begrenzing_1;Geel_1;Bruin_1;Zwart_1;Rood_1;Egaal_1;Omvang_1;Symmetrie_2;Begrenzing_2;Geel_2;Bruin_2;Zwart_2;Rood_2;Egaal_2;Omvang_2;Symmetrie_3;Begrenzing_3;Geel_3;Bruin_3;Zwart_3;Rood_3;Egaal_3;Omvang_3;Symmetrie_4;Begrenzing_4;Geel_4;Bruin_4;Zwart_4;Rood_4;Egaal_4;Omvang_4;Symmetrie_5;Begrenzing_5;Geel_5;Bruin_5;Zwart_5;Rood_5;Egaal_5;Omvang_5;Symmetrie_6;Begrenzing_6;Geel_6;Bruin_6;Zwart_6;Rood_6;Egaal_6;Omvang_6;Symmetrie_7;Begrenzing_7;Geel_7;Bruin_7;Zwart_7;Rood_7;Egaal_7;Omvang_7;Symmetrie_8;Begrenzing_8;Geel_8;Bruin_8;Zwart_8;Rood_8;Egaal_8;Omvang_8
ISIC_0009919;0;5;0;1;0;0;1;4;0;2;0;1;0;0;1;3;0;4;0;1;0;0;1;3;0;3;0;1;0;0;1;4;0;2;0;1;0;0;1;4;0;3;0;1;0;0;1;4;0;4;0;1;0;0;1;4;0;4;0;1;0;0;1;5
ISIC_0009920;1;3;1;0;0;1;1;4;1;2;0;1;0;0;1;1;1;3;0;1;0;0;1;3;1;1;0;1;0;0;1;4;1;1;0;1;0;0;1;4;1;2;0;1;0;0;1;4;1;2;0;1;0;0;1;4;0;3;1;1;0;0;1;5
ISIC_0009921;0;4;0;1;0;1;0;5;0;2;0;1;1;0;0;4;0;3;0;1;0;1;0;5;0;1;0;1;0;1;0;5;1;5;1;1;0;1;0;5;0;1;0;1;0;0;0;5;1;2;0;1;0;1;0;5;0;2;0;1;0;1;1;5
ISIC_0009923;0;1;1;1;0;0;1;3;0;2;0;1;0;0;0;3;0;1;0;1;0;0;0;3;1;2;0;1;0;0;0;3;0;2;1;1;0;1;0;4;0;3;0;1;0;0;0;4;0;2;0;1;0;0;0;3;0;2;1;1;0;0;1;5
ISIC_0009925;1;4;0;1;0;0;0;4;0;1;1;1;0;0;0;2;0;1;1;1;0;1;0;3;0;1;1;1;0;0;0;3;0;2;1;1;0;1;0;4;0;2;0;1;0;0;0;4;1;4;0;1;1;0;0;3;0;1;0;1;0;0;1;5
ISIC_0009929;0;2;0;1;1;0;0;1;1;2;1;1;1;0;0;3;1;4;0;1;1;0;0;1;1;5;0;1;0;0;1;1;1;3;1;1;1;0;0;1;1;3;0;1;1;0;0;1;1;3;0;1;0;0;0;1;1;3;0;1;1;0;0;2
ISIC_0009930;0;2;0;1;0;0;0;1;1;1;1;1;1;0;0;2;0;3;0;1;0;0;0;1;1;4;0;1;0;0;0;1;0;2;1;1;1;0;0;2;1;3;0;1;0;0;0;2;1;4;0;1;0;0;0;1;1;3;0;1;1;0;0;2
ISIC_0009931;1;1;0;1;0;0;0;4;1;2;0;1;1;0;0;4;1;4;0;1;0;0;0;4;1;4;0;1;0;0;0;4;1;4;0;1;1;0;0;4;1;4;0;1;0;0;0;4;1;4;0;1;0;0;0;4;1;4;0;1;0;0;1;4
ISIC_0009932;0;2;0;1;0;0;0;3;0;1;1;1;1;0;0;4;0;4;0;1;1;0;0;3;0;4;0;1;1;0;0;3;1;3;0;1;1;0;0;4;0;4;0;1;0;0;1;3;1;3;0;1;0;0;0;3;1;4;0;1;0;0;1;4
ISIC_0009933;1;3;0;1;0;0;1;3;1;1;0;1;0;0;0;3;1;3;0;1;0;0;0;3;1;5;0;1;0;0;0;3;1;4;0;1;0;0;0;3;1;3;0;1;0;0;0;3;1;3;0;1;0;0;0;3;1;4;0;1;0;0;1;4
ISIC_0009935;1;3;1;1;0;0;0;3;1;2;1;1;1;0;0;3;1;3;0;1;0;0;1;2;1;3;0;1;0;0;0;2;1;2;0;1;0;0;0;3;1;2;0;1;0;0;0;3;1;4;0;1;0;0;0;3;1;3;0;1;0;0;1;3
ISIC_0009936;1;2;1;1;0;0;0;2;0;1;1;1;0;0;0;1;0;3;0;1;0;0;0;1;1;2;0;1;0;0;0;1;1;1;1;1;0;0;0;2;0;1;0;1;0;0;0;1;1;3;0;1;0;0;0;1;1;2;0;1;0;0;0;2
ISIC_0009937;0;2;1;1;0;0;0;2;1;1;1;1;0;0;0;1;1;3;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0;2;1;1;1;0;0;2;1;2;0;1;0;0;0;2;1;3;0;1;0;0;0;2;1;2;0;1;0;0;0;3
ISIC_0009938;1;1;1;0;0;1;1;3;0;0;1;1;0;0;1;4;0;1;1;0;0;0;0;4;1;1;1;0;0;0;0;4;0;1;1;1;0;1;0;4;1;1;1;1;0;0;0;4;1;2;1;1;0;1;0;3;1;1;0;1;0;0;0;4
ISIC_0009939;1;4;1;1;0;0;1;3;1;2;0;1;0;1;0;5;0;4;1;1;0;1;0;4;1;3;0;1;0;0;1;4;1;3;1;1;0;1;0;4;1;4;0;1;0;0;1;4;1;4;0;1;0;1;0;3;1;3;0;1;0;1;1;4
ISIC_0009940;0;3;0;1;0;1;1;5;0;2;0;1;0;1;0;5;0;4;1;0;0;1;0;5;0;3;0;1;0;1;0;5;1;2;0;1;0;1;0;5;0;3;0;1;0;1;0;5;0;3;0;1;0;1;0;5;0;3;0;1;0;1;0;5
ISIC_0009941;1;5;1;1;0;0;1;3;1;2;1;1;0;0;1;3;1;5;1;1;0;0;0;3;1;4;0;1;0;0;1;3;1;3;1;1;0;1;0;3;1;3;0;1;0;0;0;3;1;4;1;1;0;0;0;3;1;4;0;1;0;1;1;3
ISIC_0009942;1;3;1;0;1;1;0;3;1;1;0;1;1;1;1;3;1;5;0;1;1;0;1;3;1;4;0;0;1;1;0;3;1;3;1;1;0;1;0;3;1;3;0;1;1;0;0;4;1;4;0;1;0;1;0;3;1;4;0;1;1;1;1;4
ISIC_0009943;1;2;0;1;0;0;0;2;1;4;0;1;0;0;1;2;0;2;1;1;0;1;0;3;0;1;1;1;0;0;0;3;0;1;1;0;0;1;0;3;1;2;0;1;0;0;0;3;0;3;0;1;0;0;0;3;0;1;0;1;0;0;0;3
ISIC_0009945;1;3;0;1;0;1;1;2;1;3;0;1;0;1;0;2;1;3;0;1;0;1;0;2;1;3;1;0;0;1;1;3;1;3;1;1;0;1;0;3;1;3;0;1;0;1;0;3;1;4;0;1;0;1;0;2;1;3;0;1;0;1;1;3
ISIC_0009946;1;2;1;1;0;0;1;3;1;1;1;1;0;0;0;4;1;1;1;1;0;0;0;3;1;1;1;1;0;0;0;4;1;2;1;1;0;0;0;4;1;2;0;1;0;0;0;4;1;4;0;1;0;0;0;4;1;3;0;1;0;0;0;4
ISIC_0009947;1;2;0;1;0;1;1;3;0;1;0;1;0;1;0;3;1;1;0;1;0;1;0;3;1;3;0;1;0;0;0;3;0;3;0;1;0;1;0;3;1;4;0;1;0;1;0;3;1;3;0;1;0;1;0;3;1;4;0;1;0;0;1;3
ISIC_0009949;1;4;1;1;0;0;0;4;1;2;0;1;1;0;0;4;1;2;0;1;1;0;0;3;1;5;0;1;0;0;0;4;1;5;1;1;1;1;0;4;1;4;0;1;0;0;1;4;1;4;0;1;0;0;0;3;1;4;0;1;0;0;1;4
ISIC_0009950;1;3;1;1;0;0;1;3;1;2;0;1;0;1;1;3;1;2;0;1;0;1;1;3;1;5;0;1;0;0;0;4;0;2;0;1;0;1;0;4;1;2;0;1;0;1;1;3;1;3;0;1;0;1;0;4;1;4;0;1;0;0;1;4
ISIC_0009951;0;1;1;0;0;1;1;4;0;1;0;1;0;1;0;4;0;1;1;0;0;1;0;4;0;1;1;0;0;1;0;4;0;1;1;0;0;1;0;4;0;1;0;1;0;1;0;4;1;1;0;1;0;1;0;4;0;1;0;1;0;1;0;5
ISIC_0009953;0;4;0;1;0;0;1;4;0;3;0;1;0;0;0;4;0;4;1;1;0;0;0;4;0;3;0;1;0;0;0;5;0;4;0;1;1;0;0;5;0;5;0;1;0;0;0;4;0;4;0;1;0;0;0;5;1;5;0;1;0;0;1;5
ISIC_0009954;0;2;1;0;0;0;1;3;1;1;1;1;0;0;1;1;0;1;1;1;0;0;1;3;1;1;0;1;0;0;1;3;1;2;1;1;0;1;0;3;1;2;0;1;0;0;1;3;1;3;0;1;0;0;0;3;1;2;0;1;0;0;1;4
ISIC_0009955;0;2;0;1;0;0;1;3;0;1;1;1;0;0;0;2;0;1;0;1;0;0;0;3;0;1;1;1;0;0;1;3;0;2;1;1;0;0;0;3;0;2;0;1;0;0;0;2;0;2;0;1;0;0;0;3;0;1;0;0;0;0;0;4
ISIC_0009956;1;5;0;1;0;0;1;3;1;4;0;1;0;0;1;3;1;5;0;1;0;0;1;4;1;5;0;1;0;0;1;4;1;4;0;1;0;1;0;4;1;4;0;1;0;0;1;5;1;5;0;1;0;0;0;4;1;5;0;1;0;0;1;4
ISIC_0009958;0;3;1;1;0;0;0;3;0;1;1;1;0;0;0;2;0;3;1;1;0;0;0;3;0;2;0;1;0;0;1;3;0;2;1;1;0;0;0;3;0;3;0;1;0;0;1;3;1;2;1;1;0;0;0;3;0;3;0;1;0;0;1;4
ISIC_0009960;0;3;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;3;0;1;0;0;0;1;1;3;0;1;0;0;0;1;0;2;1;1;1;1;0;1;1;3;0;1;0;0;0;1;1;3;0;1;0;1;0;1;1;4;0;1;1;0;1;2
ISIC_0009961;1;5;0;0;0;1;1;4;1;4;0;1;0;1;0;4;1;4;1;0;0;1;0;4;1;5;1;0;0;1;0;5;1;3;0;1;0;1;0;4;1;3;0;1;0;1;0;5;1;5;0;1;0;1;0;5;1;4;0;1;0;1;0;4
ISIC_0009962;0;3;0;1;0;0;0;5;0;3;0;1;0;0;0;5;0;4;0;1;0;0;0;5;0;4;0;1;0;0;0;5;0;3;1;1;0;0;1;5;0;3;0;1;0;0;0;5;0;2;0;1;0;0;0;5;0;3;0;1;0;0;0;5
ISIC_0009963;1;3;0;1;0;1;1;3;1;1;0;1;0;1;1;2;0;3;1;1;0;0;0;2;0;2;0;1;0;0;1;3;1;2;1;1;0;0;0;3;1;2;0;1;0;0;1;3;1;3;0;1;0;0;0;3;1;3;0;1;0;0;1;3
ISIC_0009964;0;2;0;1;0;0;0;2;0;1;1;1;0;0;0;1;1;3;0;1;0;0;1;2;1;3;0;1;0;0;1;2;0;2;1;1;0;0;0;1;1;3;0;1;0;0;0;3;1;3;0;1;0;0;0;2;1;3;0;1;0;0;1;2
ISIC_0009965;0;2;0;1;0;1;1;4;1;2;0;1;0;1;0;4;0;3;0;1;0;1;0;4;0;3;0;1;0;0;0;5;0;2;0;1;0;1;0;4;0;2;0;1;0;1;0;5;0;2;0;1;0;1;0;5;0;2;0;1;0;1;0;5
ISIC_0009966;1;5;0;1;0;1;1;3;1;3;0;1;0;1;0;3;1;5;0;1;0;0;0;3;1;5;0;1;0;0;0;4;1;3;1;1;0;1;0;4;1;4;0;1;0;0;1;5;1;5;0;1;0;0;0;4;1;5;0;1;0;0;1;4
ISIC_0009967;1;5;0;1;0;0;1;3;1;4;0;1;0;0;1;2;1;5;0;1;0;0;1;3;1;5;0;1;0;0;1;3;1;5;1;1;0;1;1;3;1;4;0;1;0;1;0;4;1;5;0;1;0;0;1;3;1;5;0;1;0;0;1;4
ISIC_0009968;0;1;1;1;0;0;0;4;0;1;1;1;0;0;0;5;0;1;1;0;0;0;0;5;0;1;1;0;0;0;0;3;0;1;1;1;0;1;0;4;1;2;0;1;0;0;1;2;0;1;0;1;0;1;0;5;0;1;0;1;0;0;0;5
ISIC_0009969;1;4;0;1;0;0;0;4;1;2;0;1;1;0;1;4;1;5;0;1;0;0;0;4;1;5;0;1;0;0;0;2;1;3;1;1;1;1;0;4;1;3;0;1;0;0;1;4;1;3;0;1;0;0;0;4;1;4;0;1;0;0;1;4
ISIC_0009971;0;2;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;2;0;2;1;1;0;1;0;1;0;1;0;1;0;0;0;1;0;2;0;1;0;0;0;1;0;2;0;1;0;0;0;1
ISIC_0009972;1;2;0;1;0;1;1;2;1;2;0;1;0;1;0;2;1;4;0;1;0;0;1;2;1;5;0;1;0;0;1;2;1;3;0;1;0;1;0;3;1;3;0;1;0;0;1;2;1;3;0;1;0;1;0;2;1;4;0;1;0;0;1;2
ISIC_0009973;1;4;0;1;1;0;0;4;1;2;0;1;1;0;0;3;1;4;0;1;1;0;0;3;1;4;0;1;1;0;0;5;1;3;0;1;1;1;0;4;1;3;0;1;1;0;0;4;1;4;0;1;1;0;0;4;1;4;0;1;1;0;1;3
ISIC_0009974;1;4;0;1;0;0;1;5;1;2;0;1;0;0;1;4;1;5;0;1;0;0;0;4;1;5;0;1;0;0;0;5;1;3;0;1;0;1;0;5;1;2;0;1;0;0;0;5;1;3;0;1;0;1;0;5;1;4;0;1;0;0;1;5
ISIC_0009975;0;3;0;1;1;0;0;3;1;3;0;1;1;0;1;3;0;5;0;0;1;0;1;3;0;5;0;0;1;0;1;3;0;3;0;1;1;1;1;3;0;4;0;1;1;0;1;4;0;3;0;0;1;1;0;3;0;3;0;1;1;0;1;4
ISIC_0009976;0;1;1;1;0;0;0;3;0;1;1;1;0;0;0;2;0;1;1;1;0;0;0;2;0;1;1;1;0;0;0;2;0;2;1;1;0;1;0;3;0;2;0;1;0;0;1;3;1;2;0;1;0;0;0;3;0;2;0;1;0;0;0;3
ISIC_0009977;1;2;0;1;0;0;0;3;1;3;0;1;1;0;0;2;0;2;0;1;0;0;1;2;0;2;0;1;0;0;1;2;1;2;0;1;1;0;0;3;0;2;0;1;0;0;1;3;1;3;0;1;0;0;0;3;0;3;0;1;0;0;0;3
ISIC_0009979;0;3;1;1;0;0;0;2;1;2;1;1;0;0;0;2;1;2;1;1;0;0;0;2;1;2;1;1;0;0;0;3;0;3;1;1;0;1;0;3;1;2;0;1;0;0;0;4;1;3;0;1;0;1;0;2;1;4;0;1;0;0;0;3
ISIC_0009981;0;2;0;1;0;1;0;2;0;1;0;1;0;0;0;1;1;2;0;1;0;0;0;1;1;2;0;1;0;0;0;1;0;3;0;1;1;1;0;2;1;1;0;1;0;0;0;2;1;3;0;1;0;0;0;2;1;3;0;1;0;0;0;2
ISIC_0009982;0;2;1;1;0;0;0;2;1;1;1;1;0;0;0;2;0;1;1;1;0;0;0;2;0;1;0;1;0;0;1;2;0;2;1;1;0;1;0;3;0;1;0;1;0;0;1;3;1;2;0;1;0;0;0;3;0;3;0;1;0;0;1;3
ISIC_0009987;0;4;0;1;0;0;0;3;0;2;0;1;1;0;0;3;0;4;0;1;0;0;0;3;0;4;0;1;0;0;0;3;0;3;1;1;1;0;0;4;1;2;0;1;1;0;0;4;1;3;0;1;1;0;0;4;0;4;0;1;1;0;0;4
ISIC_0009991;0;4;0;1;0;0;1;4;1;3;0;1;0;0;1;4;0;5;0;1;0;0;0;3;0;5;0;1;0;0;0;3;1;4;0;1;1;0;0;4;0;4;0;1;0;0;0;4;0;4;0;1;0;0;0;4;0;4;0;1;0;0;1;4
ISIC_0009993;0;2;0;1;0;0;0;4;0;2;0;1;0;0;0;4;0;4;0;1;0;0;1;4;0;4;0;1;0;0;1;4;0;3;1;1;0;1;0;4;0;3;0;1;0;1;0;4;0;2;0;1;0;1;0;4;0;3;0;1;0;0;0;4
ISIC_0009994;1;4;0;1;0;0;1;3;1;4;0;1;0;0;1;3;1;5;0;1;0;0;1;3;1;5;0;1;0;0;1;3;1;5;0;1;0;1;1;3;1;4;0;1;0;0;1;3;1;5;0;1;0;0;1;3;1;5;0;1;0;0;1;4
ISIC_0009998;0;3;1;1;0;0;0;3;1;3;1;1;0;0;1;3;0;3;1;1;0;0;0;3;0;3;1;1;0;0;0;3;1;3;1;1;0;1;0;4;1;2;0;1;0;0;0;4;1;3;0;1;0;0;0;3;0;3;1;1;0;0;0;4
ISIC_0010000;0;3;0;1;0;1;0;5;0;3;0;1;0;1;0;5;0;2;0;1;0;1;0;5;0;2;0;1;0;1;0;5;0;4;1;1;0;1;0;5;0;2;0;1;0;1;0;5;0;3;0;1;0;1;0;5;0;1;0;1;0;1;0;5
ISIC_0010002;1;4;0;0;0;1;1;4;1;5;0;0;0;1;0;4;1;5;0;0;0;1;0;4;1;5;0;0;0;1;0;4;1;3;0;0;0;1;0;4;1;4;0;0;0;1;1;4;1;5;0;0;0;1;0;4;1;5;0;0;0;1;0;4
ISIC_0010003;0;3;0;1;0;0;1;2;1;2;0;1;1;0;0;1;0;3;0;1;0;0;1;2;0;3;0;1;0;0;1;3;1;3;1;1;1;0;0;2;1;3;0;1;0;0;0;3;1;3;0;1;0;0;0;2;1;4;0;1;1;0;0;2
ISIC_0010005;0;4;0;1;0;0;0;5;1;4;0;1;0;1;0;5;1;3;0;1;0;0;0;5;0;2;1;1;0;0;0;5;1;3;1;1;1;1;0;5;0;3;0;1;0;0;0;5;1;2;0;1;0;1;0;5;1;2;0;1;1;0;0;5
ISIC_0010006;1;3;0;1;0;0;1;4;1;2;0;1;0;0;1;4;1;4;0;1;0;0;0;3;0;4;0;1;0;0;0;4;1;3;1;1;1;0;0;4;1;2;0;1;0;0;0;4;1;2;0;1;0;0;0;4;1;3;0;1;0;0;1;4
ISIC_0010011;1;4;1;0;0;1;0;3;1;3;0;1;0;1;1;3;1;1;1;0;0;0;1;3;0;1;1;0;0;0;1;4;1;2;1;0;0;1;0;4;1;2;0;1;0;0;1;5;1;4;0;1;0;1;0;4;0;1;1;1;0;1;1;4
ISIC_0010013;1;3;0;1;0;0;0;3;1;3;0;1;1;1;1;3;1;4;0;1;0;1;0;3;1;3;0;1;0;0;1;4;1;4;1;1;1;1;0;3;1;2;0;1;0;0;0;4;1;2;0;1;1;1;0;3;1;3;0;1;0;0;1;4
ISIC_0010014;0;3;0;1;0;0;0;3;0;2;0;1;0;0;1;3;0;4;0;1;0;0;1;3;0;3;0;1;0;0;0;3;0;2;1;1;1;1;0;3;1;3;0;1;0;0;1;4;1;2;0;1;0;1;0;3;0;3;0;1;0;0;1;4
ISIC_0010015;1;3;0;1;0;0;1;4;0;3;0;1;0;0;1;3;0;5;0;1;0;0;1;4;0;4;0;1;0;0;0;4;0;4;0;1;1;0;0;4;0;4;0;1;0;0;1;5;0;3;0;1;0;0;0;4;0;4;0;1;0;0;1;4
ISIC_0010016;0;2;1;1;0;0;0;2;0;1;0;1;1;0;0;1;1;4;0;1;1;0;0;1;1;3;0;1;0;0;0;3;0;2;1;1;1;1;0;2;0;3;0;1;0;0;0;3;1;3;0;1;1;0;0;2;0;3;0;1;1;0;0;3
ISIC_0010017;1;2;0;1;0;1;0;4;1;3;0;1;0;0;0;5;1;3;0;1;0;1;0;4;1;5;0;1;0;0;0;4;1;3;0;1;0;1;0;4;1;4;0;1;0;0;0;5;1;2;0;1;0;0;0;5;1;3;0;1;0;0;1;5
ISIC_0010018;1;4;0;1;1;0;0;3;1;3;0;1;1;1;0;4;1;5;0;1;1;1;0;2;1;5;0;1;0;0;0;4;1;4;1;1;1;1;0;4;1;4;0;1;0;0;1;4;1;4;0;1;0;1;0;3;1;4;0;1;1;0;1;3
ISIC_0010019;1;3;0;1;0;0;1;4;1;4;0;1;0;0;1;4;0;5;0;1;0;0;1;4;0;5;0;1;0;0;1;4;1;4;1;1;0;0;0;4;0;3;0;1;0;0;1;5;1;3;0;1;0;0;0;4;0;4;0;1;0;0;1;4
ISIC_0010020;0;2;0;1;0;0;0;4;0;1;0;1;1;0;0;5;0;1;0;1;0;0;0;4;0;1;1;1;0;0;0;4;0;1;1;1;1;0;0;4;0;1;0;1;0;0;0;5;0;1;0;1;0;0;0;5;0;1;0;1;0;0;0;5
ISIC_0010021;1;4;0;1;0;1;0;5;1;2;0;1;0;1;0;5;1;2;0;1;0;1;0;4;1;4;0;1;0;1;0;4;1;2;0;1;0;1;0;4;1;3;0;1;0;1;0;5;1;3;0;1;0;1;0;5;1;2;0;1;0;1;0;5
ISIC_0010022;0;3;1;1;0;0;0;5;0;2;0;1;1;0;0;5;0;1;1;1;0;0;0;4;0;2;1;1;0;0;0;4;0;2;1;1;1;0;0;4;0;2;0;1;0;0;0;5;1;2;0;1;0;0;0;5;0;2;0;1;1;0;0;5
ISIC_0010024;0;2;0;1;0;1;0;3;0;1;0;1;0;0;0;2;0;4;0;1;0;1;0;2;0;3;0;1;0;0;1;4;1;2;0;1;0;1;0;4;0;1;0;1;0;1;0;3;1;3;0;1;0;1;0;2;0;3;0;1;0;0;0;3
ISIC_0010025;1;5;0;1;0;0;1;3;1;3;0;1;0;0;1;2;1;5;0;1;0;0;1;2;1;5;0;1;0;0;1;3;1;4;1;1;0;0;0;4;0;3;0;1;0;0;1;3;1;5;0;1;0;0;1;3;1;5;0;1;0;0;1;3
ISIC_0010028;1;3;1;1;0;0;1;3;1;2;1;1;0;0;1;3;1;4;1;0;1;0;1;2;1;4;0;1;0;0;1;2;1;3;1;1;0;1;0;3;1;2;0;1;0;0;1;4;1;4;0;1;0;0;0;3;1;4;0;1;0;0;1;3
