ID;Symmetrie_05_Annot1;Symmetrie_05_Annot2;Symmetrie_05_Annot3;Grens_05_Annot1;Grens_05_Annot4;Grens_05_Annot5;AantalKleuren_05_Annot6;AantalKleuren_05_Annot7;AantalKleuren_05_Annot8;Blauw_05_Annot6;Blauw_05_Annot7;Blauw_05_Annot8;Wit_05_Annot6;Wit_05_Annot7;Wit_05_Annot8
ISIC_0000482;0;0;0;2;3;4;4;3;3;0;0;0;0;0;0
ISIC_0000483;0;0;1;3;4;5;3;2;2;0;0;0;0;0;0
ISIC_0000484;1;1;1;3;4;5;4;2;1;0;0;0;0;0;0
ISIC_0000485;1;1;0;2;2;3;3;4;2;0;0;0;0;0;0
ISIC_0000486;0;1;1;2;2;3;4;3;2;0;0;0;0;0;0
ISIC_0000487;1;1;1;2;3;5;3;2;1;0;0;0;0;0;0
ISIC_0000488;1;0;1;3;3;3;3;3;2;0;0;0;0;0;0
ISIC_0000489;1;1;1;3;2;5;3;2;2;0;0;0;0;0;0
ISIC_0000490;0;0;1;3;4;3;3;3;2;0;0;0;0;0;0
ISIC_0000491;1;0;1;2;3;3;4;3;2;0;0;0;0;0;0
ISIC_0000492;0;0;1;4;3;4;4;3;2;0;0;0;1;0;0
ISIC_0000493;1;1;1;1;3;4;3;2;1;0;0;0;0;0;0
ISIC_0000494;1;1;1;2;4;5;3;3;3;0;0;0;0;0;0
ISIC_0000495;0;0;1;3;3;3;3;3;2;0;0;0;0;0;0
ISIC_0000496;1;1;1;2;4;3;4;3;3;0;0;1;0;0;0
ISIC_0000498;1;0;1;2;2;2;4;3;3;0;0;0;0;0;0
ISIC_0000499;1;1;1;3;4;5;3;3;2;0;0;0;0;0;0
ISIC_0000500;1;1;1;2;3;4;3;2;2;0;0;0;0;0;0
ISIC_0000501;1;0;1;4;5;5;3;3;3;0;0;0;0;1;0
ISIC_0000503;1;1;1;1;3;5;3;3;2;0;0;0;0;0;0
ISIC_0000504;0;0;1;4;2;1;4;4;3;0;0;0;0;0;0
ISIC_0000505;1;1;1;1;3;3;4;5;3;1;0;0;0;0;0
ISIC_0000506;0;0;0;1;1;3;4;3;3;0;0;0;0;0;0
ISIC_0000507;0;0;0;2;2;3;3;3;3;0;0;0;0;0;0
ISIC_0000508;0;1;1;2;2;4;3;1;1;0;0;0;0;0;0
ISIC_0000509;0;0;0;1;2;2;4;2;3;1;0;0;0;0;1
ISIC_0000510;1;0;1;3;3;4;4;3;2;0;0;0;0;0;0
ISIC_0000511;1;1;1;4;3;5;4;4;3;1;0;1;0;0;0
ISIC_0000513;0;0;1;3;3;4;2;2;1;0;0;0;0;0;0
ISIC_0000514;1;1;1;4;3;5;3;3;2;0;0;0;0;0;0
ISIC_0000515;1;1;1;3;2;4;4;2;2;0;0;0;0;0;0
ISIC_0000516;1;1;1;5;4;5;4;3;2;0;0;0;0;0;0
ISIC_0000517;1;1;1;4;3;5;2;2;2;0;0;0;0;0;0
ISIC_0000518;1;1;1;5;3;5;3;2;2;0;0;0;0;0;0
ISIC_0000519;1;1;1;5;4;5;3;2;3;0;0;0;0;0;0
ISIC_0000520;1;1;1;5;3;5;4;5;2;1;0;1;1;0;0
ISIC_0000521;0;0;0;2;2;4;3;2;2;0;0;0;0;0;0
ISIC_0000522;0;1;1;4;2;5;3;2;3;0;0;1;0;0;0
ISIC_0000523;0;0;0;1;1;1;3;4;3;0;0;0;0;0;0
ISIC_0000524;1;0;0;2;2;4;3;2;4;0;0;0;0;0;0
ISIC_0000525;0;0;0;2;2;2;2;2;2;0;0;0;0;0;0
ISIC_0000527;1;1;1;3;2;4;2;3;2;0;0;0;0;0;0
ISIC_0000528;1;1;1;3;2;5;3;3;2;0;0;0;0;0;0
ISIC_0000529;1;1;1;4;4;5;3;2;2;0;0;0;0;0;0
ISIC_0000530;1;1;1;4;3;5;3;2;2;0;0;0;0;0;0
ISIC_0000531;1;1;1;3;2;4;3;2;2;0;0;0;0;0;0
ISIC_0000532;1;1;1;3;3;4;3;3;3;0;0;0;0;0;0
ISIC_0000533;1;1;0;3;3;5;3;3;3;0;0;0;0;0;0
ISIC_0000534;1;1;1;2;3;3;4;4;4;0;0;0;0;1;0
ISIC_0000535;0;0;0;1;2;2;4;4;5;0;0;0;0;0;0
ISIC_0000536;1;0;0;2;2;4;3;3;2;0;0;0;1;1;0
ISIC_0000538;0;0;0;2;2;5;3;3;3;0;0;0;0;0;0
ISIC_0000539;1;0;0;2;1;5;3;2;2;0;0;0;0;0;0
