ID,i,ii,iii
ISIC_0000278,2,2,1
ISIC_0000281,3,1,2
ISIC_0000282,2,2,4
ISIC_0000283,3,6,1
ISIC_0000285,3,3,2
ISIC_0000288,4,1,4
ISIC_0000289,3,6,3
ISIC_0000290,4,3,5
ISIC_0000292,1,3,3
ISIC_0000293,1,1,2
ISIC_0000294,3,2,3
ISIC_0000295,3,1,4
ISIC_0000297,3,3,1
ISIC_0000298,1,1,2
ISIC_0000299,1,4,3
ISIC_0000300,6,3,3
ISIC_0000301,2,3,2
ISIC_0000302,4,3,2
ISIC_0000303,2,3,1
ISIC_0000306,5,2,1
ISIC_0000307,3,1,3
ISIC_0000310,2,2,1
ISIC_0000311,3,5,1
ISIC_0000313,6,1,2
ISIC_0000314,3,3,3
ISIC_0000315,2,1,1
ISIC_0000316,2,2,3
ISIC_0000317,3,3,6
ISIC_0000319,3,1,3
ISIC_0000320,1,2,2
ISIC_0000321,1,1,3
ISIC_0000322,1,2,2
ISIC_0000323,1,1,3
ISIC_0000324,3,2,2
ISIC_0000325,3,2,3
ISIC_0000326,2,3,1
ISIC_0000327,3,1,4
ISIC_0000328,1,5,3
ISIC_0000329,2,6,1
ISIC_0000330,4,2,1
ISIC_0000331,3,3,2
ISIC_0000332,1,3,4
ISIC_0000336,1,2,1
ISIC_0000338,4,3,3
ISIC_0000340,2,2,3
ISIC_0000341,1,1,2
ISIC_0000342,2,1,2
ISIC_0000343,2,1,3
ISIC_0000344,4,2,2
ISIC_0000345,2,2,3
ISIC_0000346,1,3,3
ISIC_0000347,2,2,2
ISIC_0000348,6,3,3
ISIC_0000349,1,2,2
ISIC_0000350,3,1,2
ISIC_0000351,1,6,3
ISIC_0000352,3,2,2
ISIC_0000353,2,3,3
ISIC_0000354,3,2,2
ISIC_0000355,1,3,1
ISIC_0000357,2,3,2
ISIC_0000358,1,1,1
ISIC_0000359,1,2,3
ISIC_0000360,2,3,1
ISIC_0000361,3,2,3
ISIC_0000363,3,3,2
ISIC_0000364,1,2,2
ISIC_0000365,1,3,2
ISIC_0000366,6,3,2
ISIC_0000367,2,5,3
ISIC_0000368,2,2,3
ISIC_0000369,2,3,2
ISIC_0000370,5,2,3
ISIC_0000371,5,3,2
ISIC_0000372,2,2,2
ISIC_0000374,3,2,1
ISIC_0000376,1,2,2
ISIC_0000377,3,3,2
ISIC_0000378,3,1,2
ISIC_0000379,2,4,3
ISIC_0000380,3,3,4
ISIC_0000381,2,2,1
ISIC_0000382,2,2,2
ISIC_0000383,1,1,2
ISIC_0000384,4,3,3
ISIC_0000385,1,1,2
ISIC_0000386,2,3,2
ISIC_0000387,2,2,1
ISIC_0000388,1,2,2
ISIC_0000390,4,2,1
ISIC_0000391,2,2,1
ISIC_0000392,1,2,2
ISIC_0000393,1,2,1
ISIC_0000395,2,1,3
ISIC_0000396,2,1,3
ISIC_0000397,1,3,1
ISIC_0000403,1,1,1
ISIC_0000407,2,1,1
ISIC_0000408,2,2,1
ISIC_0000409,1,2,2
ISIC_0000410,1,1,2
ISIC_0000412,1,2,2
ISIC_0000413,1,1,1
ISIC_0000415,1,4,3
ISIC_0000416,2,1,1
ISIC_0000418,4,2,1
ISIC_0000419,1,3,1
ISIC_0000420,1,2,1
ISIC_0000421,1,2,2
ISIC_0000423,1,1,3
ISIC_0000425,2,6,2
ISIC_0000426,4,6,2
ISIC_0000427,3,1,1
ISIC_0000431,2,3,1
ISIC_0000433,2,2,3
ISIC_0000434,1,1,1
ISIC_0000436,1,1,0
ISIC_0000439,2,2,2
ISIC_0000442,2,1,2
ISIC_0000443,3,1,2
ISIC_0000444,2,2,2
ISIC_0000445,2,2,1
ISIC_0000447,1,1,1
ISIC_0000448,4,2,1
ISIC_0000449,2,3,3
ISIC_0000451,1,2,2
ISIC_0000453,2,1,1
ISIC_0000455,1,3,1
ISIC_0000456,1,1,2
ISIC_0000457,2,2,2
ISIC_0000458,3,2,1
ISIC_0000460,1,2,4
ISIC_0000461,2,1,1
ISIC_0000463,2,3,2
ISIC_0000465,2,4,3
ISIC_0000466,2,2,1
ISIC_0000467,2,3,2
ISIC_0000468,1,3,1
ISIC_0000469,2,3,2
ISIC_0000470,2,1,2
ISIC_0000471,3,2,3
ISIC_0000473,1,2,3
ISIC_0000474,2,1,3
ISIC_0000475,1,2,1
ISIC_0000476,1,1,2
ISIC_0000478,2,2,1
ISIC_0000479,1,1,2
ISIC_0000480,1,6,2
ISIC_0000481,1,4,1
ISIC_0000482,3,4,1
ISIC_0000483,2,2,1
ISIC_0000484,1,1,1
ISIC_0000485,2,2,2
ISIC_0000486,3,2,2
ISIC_0000487,1,2,1
ISIC_0000488,2,2,1
ISIC_0000489,2,3,1
ISIC_0000490,1,2,2
ISIC_0000491,2,2,3
ISIC_0000492,3,1,2
ISIC_0000493,1,3,2
ISIC_0000494,2,2,1
ISIC_0000495,4,2,1
ISIC_0000496,5,3,4
ISIC_0000498,2,1,3
ISIC_0000499,3,1,4
ISIC_0000500,2,2,2
ISIC_0000501,3,3,3
ISIC_0000503,2,3,2
ISIC_0000504,1,2,3
ISIC_0000505,4,2,3
ISIC_0000506,2,2,3
ISIC_0000507,3,3,4
ISIC_0000508,1,2,1
ISIC_0000509,1,1,1
ISIC_0000510,1,2,1
ISIC_0000511,4,2,2
ISIC_0000513,2,1,1
ISIC_0000514,2,1,2
ISIC_0000515,2,2,2
ISIC_0000516,2,3,2
ISIC_0000517,1,1,1
ISIC_0000518,3,2,1
ISIC_0000519,2,2,1
ISIC_0000520,3,2,1
ISIC_0000521,3,2,2
ISIC_0000522,1,1,3
ISIC_0000523,2,2,5
ISIC_0000524,3,2,3
ISIC_0000525,1,3,2
ISIC_0000527,1,1,2
ISIC_0000528,1,1,2
ISIC_0000529,1,1,2
ISIC_0000530,2,1,2
ISIC_0000531,1,2,3
ISIC_0000532,2,2,2
ISIC_0000533,1,3,3
ISIC_0000534,2,2,2
ISIC_0000535,3,2,2
ISIC_0000536,2,2,1
ISIC_0000538,3,2,3
ISIC_0000539,1,1,1
ISIC_0000540,1,3,2
ISIC_0000541,3,3,2
ISIC_0000542,5,2,2
ISIC_0000543,2,3,3
ISIC_0000544,1,2,3
ISIC_0000545,2,1,1
ISIC_0000546,1,1,1
ISIC_0000547,2,1,1
ISIC_0000548,1,1,2
ISIC_0000549,3,2,2
ISIC_0000550,3,3,3
ISIC_0000551,1,1,2
ISIC_0000552,4,4,2
ISIC_0000554,2,2,4
ISIC_0000555,1,2,1
ISIC_0000556,2,2,2
ISIC_0000882,2,3,0
ISIC_0000900,1,0,6
ISIC_0000999,1,2,1
ISIC_0001100,1,3,4
ISIC_0001102,3,1,3
ISIC_0001103,3,2,1
ISIC_0001105,1,3,2
ISIC_0001118,2,3,3
ISIC_0001119,2,2,2
ISIC_0001126,2,1,1
ISIC_0001128,2,2,1
ISIC_0001131,2,4,2
ISIC_0001133,4,5,4
ISIC_0001134,3,2,1
ISIC_0001140,3,3,4
ISIC_0001142,2,3,3
ISIC_0001148,2,2,2
ISIC_0001152,5,4,5
ISIC_0001960,1,1,2
ISIC_0002093,1,2,2
ISIC_0002107,2,2,1
ISIC_0002206,1,1,2
ISIC_0002246,3,2,1
ISIC_0002251,2,3,2
ISIC_0002287,2,2,1
ISIC_0002353,1,1,1
ISIC_0002374,1,3,1
ISIC_0002438,1,2,2
ISIC_0002439,2,1,3
ISIC_0002453,1,1,2
ISIC_0002459,1,1,3
ISIC_0002469,1,2,2
ISIC_0002476,2,2,2
ISIC_0002488,2,1,1
ISIC_0002489,3,1,2
ISIC_0002616,1,2,2
ISIC_0002647,2,1,2
ISIC_0002673,1,2,1
ISIC_0002780,1,1,1
ISIC_0002806,2,1,1
ISIC_0002829,1,1,1
ISIC_0002836,1,1,3
ISIC_0002871,1,1,1
ISIC_0002879,1,2,2
ISIC_0002885,2,2,2
ISIC_0002948,2,1,1
ISIC_0002975,1,3,2
ISIC_0002976,2,1,1
ISIC_0003005,1,2,2
ISIC_0003051,1,1,1
ISIC_0003056,2,1,1
ISIC_0003174,2,1,3
ISIC_0003308,0,1,1
ISIC_0003346,1,1,1
ISIC_0003728,2,2,1
ISIC_0004110,2,1,0
ISIC_0004115,3,3,2
ISIC_0004166,3,1,1
ISIC_0004168,1,1,1
ISIC_0004309,3,2,3
ISIC_0004346,3,1,1
ISIC_0004715,1,2,1
ISIC_0004985,1,1,3
ISIC_0005000,2,2,1
ISIC_0005187,2,2,1
ISIC_0005548,1,2,3
ISIC_0005555,3,1,2
ISIC_0005620,2,1,1
ISIC_0005639,2,3,1
ISIC_0005666,1,1,1
ISIC_0005787,1,1,1
ISIC_0006021,3,1,1
ISIC_0006114,3,2,1
ISIC_0006193,1,3,2
ISIC_0006326,1,1,2
ISIC_0006350,1,2,2
ISIC_0006612,2,1,2
ISIC_0006711,2,2,3
ISIC_0006776,2,1,2
ISIC_0006795,1,1,1
ISIC_0006800,1,1,1
ISIC_0006940,3,3,1
ISIC_0006982,1,2,1
ISIC_0007038,1,1,1
ISIC_0007087,2,1,1
ISIC_0007322,1,1,1
ISIC_0007475,2,1,1
ISIC_0007557,2,2,1
ISIC_0007693,1,1,1
ISIC_0007760,1,1,2
ISIC_0008029,3,2,1
ISIC_0008116,1,1,3
ISIC_0008145,2,1,3
ISIC_0008207,2,2,1
ISIC_0008236,1,2,1
ISIC_0008256,2,2,1
ISIC_0008280,4,1,1
ISIC_0008294,1,2,2
ISIC_0008347,1,1,1
ISIC_0008396,1,1,0
ISIC_0008403,1,3,2
ISIC_0008406,1,1,2
ISIC_0008507,1,2,3
ISIC_0008528,1,1,1
ISIC_0008541,1,1,3
ISIC_0008552,1,2,2
ISIC_0008600,1,6,1
ISIC_0008626,1,1,2
ISIC_0008659,1,1,1
ISIC_0008785,1,1,2
ISIC_0008807,1,2,2
ISIC_0008879,2,2,1
ISIC_0008992,1,1,2
ISIC_0008993,1,2,2
ISIC_0008998,2,2,2
ISIC_0009035,1,2,2
ISIC_0009078,3,1,2
ISIC_0009083,2,1,1
ISIC_0009160,3,2,1
ISIC_0009165,4,2,2
ISIC_0009188,1,1,2
ISIC_0009252,2,2,1
ISIC_0009297,1,1,2
ISIC_0009298,1,1,1
ISIC_0009344,1,1,2
ISIC_0009430,1,2,2
ISIC_0009504,1,2,1
ISIC_0009533,2,3,2
ISIC_0009564,1,1,2
ISIC_0009583,1,1,1
ISIC_0009599,1,2,3
ISIC_0009758,1,1,1
ISIC_0009860,1,1,1
ISIC_0009868,1,1,3
ISIC_0009869,1,2,1
ISIC_0009870,2,1,1
ISIC_0009871,1,1,3
ISIC_0009872,2,1,2
ISIC_0009873,2,2,3
ISIC_0009874,2,3,1
ISIC_0009875,4,3,1
ISIC_0009877,1,2,2
ISIC_0009879,1,2,1
ISIC_0009880,3,2,2
ISIC_0009881,3,2,1
ISIC_0009882,3,2,2
ISIC_0009883,2,2,4
ISIC_0009884,2,1,1
ISIC_0009885,1,1,2
ISIC_0009888,2,2,1
ISIC_0009889,1,2,3
ISIC_0009891,1,3,2
ISIC_0009895,2,3,3
ISIC_0009896,3,1,2
ISIC_0009897,2,1,2
ISIC_0009898,2,1,1
ISIC_0009899,2,2,1
ISIC_0009901,3,1,1
ISIC_0009902,1,2,1
ISIC_0009905,3,3,2
ISIC_0009906,1,2,1
ISIC_0009909,1,2,3
ISIC_0009910,2,2,3
ISIC_0009911,2,1,3
ISIC_0009912,1,1,2
ISIC_0009914,2,2,2
ISIC_0009915,4,2,2
ISIC_0009917,1,1,2
ISIC_0009918,2,3,2
ISIC_0009919,2,1,2
ISIC_0009920,1,3,1
ISIC_0009921,2,1,1
ISIC_0009923,1,2,1
ISIC_0009925,1,2,2
ISIC_0009929,2,1,1
ISIC_0009930,2,3,1
ISIC_0009931,3,2,2
ISIC_0009932,2,2,1
ISIC_0009933,2,2,2
ISIC_0009935,1,2,3
ISIC_0009936,6,2,3
ISIC_0009937,1,1,3
ISIC_0009938,1,3,1
ISIC_0009939,2,1,1
ISIC_0009940,3,2,2
ISIC_0009941,1,2,1
ISIC_0009942,2,2,3
ISIC_0009943,2,1,2
ISIC_0009945,2,2,1
ISIC_0009946,2,3,2
ISIC_0009947,2,2,2
ISIC_0009949,1,2,2
ISIC_0009950,3,3,2
ISIC_0009951,2,2,2
ISIC_0009953,2,1,2
ISIC_0009954,1,2,1
ISIC_0009955,1,1,2
ISIC_0009956,2,2,2
ISIC_0009958,1,1,3
ISIC_0009960,2,3,2
ISIC_0009961,1,2,4
ISIC_0009962,2,1,2
ISIC_0009963,2,3,1
ISIC_0009964,1,2,2
ISIC_0009965,1,3,2
ISIC_0009966,1,2,2
ISIC_0009967,1,2,2
ISIC_0009968,2,1,2
ISIC_0009969,2,2,2
ISIC_0009971,2,2,2
ISIC_0009972,1,2,1
ISIC_0009973,2,2,1
ISIC_0009974,1,3,1
ISIC_0009975,1,1,2
ISIC_0009976,2,1,1
ISIC_0009977,2,2,2
ISIC_0009979,2,2,2
ISIC_0009981,1,2,1
ISIC_0009982,2,1,1
ISIC_0009987,2,2,2
ISIC_0009991,2,2,1
ISIC_0009993,3,2,2
ISIC_0009994,2,3,1
ISIC_0009998,2,1,2
ISIC_0010000,4,1,2
ISIC_0010002,1,2,1
ISIC_0010003,1,3,1
ISIC_0010005,2,3,2
ISIC_0010006,3,2,2
ISIC_0010011,1,2,1
ISIC_0010013,1,3,2
ISIC_0010014,3,1,2
ISIC_0010015,2,1,1
ISIC_0010016,3,2,1
ISIC_0010017,1,1,3
ISIC_0010018,4,2,3
ISIC_0010019,2,1,2
ISIC_0010020,2,3,2
ISIC_0010021,2,2,3
ISIC_0010022,3,2,2
ISIC_0010024,1,1,2
ISIC_0010025,1,2,2
ISIC_0010028,1,1,1
ISIC_0010029,2,3,2
ISIC_0010032,2,1,2
ISIC_0010034,2,3,1
ISIC_0010036,2,3,3
ISIC_0010040,3,1,3
ISIC_0010042,1,2,1
ISIC_0010043,3,3,2
ISIC_0010044,3,3,1
ISIC_0010046,2,1,2
ISIC_0010047,1,2,2
ISIC_0010051,2,3,3
ISIC_0010053,2,2,2
ISIC_0010054,2,2,1
ISIC_0010055,1,2,1
ISIC_0010057,2,3,2
ISIC_0010058,1,1,3
ISIC_0010059,2,3,2
ISIC_0010060,2,2,2
ISIC_0010061,2,2,2
ISIC_0010062,2,1,1
ISIC_0010063,1,2,1
ISIC_0010064,3,2,2
ISIC_0010066,2,2,1
ISIC_0010067,2,3,1
ISIC_0010069,2,2,2
ISIC_0010070,2,3,3
ISIC_0010074,2,2,3
ISIC_0010075,3,1,3
ISIC_0010077,2,1,2
ISIC_0010078,2,3,3
ISIC_0010080,3,2,1
ISIC_0010081,3,1,1
ISIC_0010086,1,3,1
ISIC_0010087,2,1,2
ISIC_0010088,2,1,1
ISIC_0010089,1,2,2
ISIC_0010090,2,2,2
ISIC_0010092,3,2,3
ISIC_0010093,2,2,3
ISIC_0010094,2,2,2
ISIC_0010100,1,3,1
ISIC_0010102,4,2,1
ISIC_0010104,2,1,2
ISIC_0010105,4,2,2
ISIC_0010168,3,2,2
ISIC_0010170,1,2,1
ISIC_0010171,1,2,2
ISIC_0010173,3,1,2
ISIC_0010174,3,3,5
ISIC_0010176,1,3,1
ISIC_0010177,2,2,1
ISIC_0010178,2,2,2
ISIC_0010180,1,1,1
ISIC_0010182,1,1,2
ISIC_0010184,2,2,2
ISIC_0010185,3,3,2
ISIC_0010186,1,1,1
ISIC_0010187,3,2,2
ISIC_0010191,3,2,2
ISIC_0010192,2,2,2
ISIC_0010193,4,3,1
ISIC_0010194,3,2,1
ISIC_0010201,3,2,2
ISIC_0010202,1,1,2
ISIC_0010205,4,1,1
ISIC_0010206,1,2,2
ISIC_0010207,1,2,3
ISIC_0010212,1,1,3
ISIC_0010213,2,1,3
ISIC_0010215,1,1,1
ISIC_0010216,1,2,3
ISIC_0010219,1,1,1
ISIC_0010220,1,2,1
ISIC_0010222,2,2,1
ISIC_0010225,1,2,1
ISIC_0010227,1,1,2
ISIC_0010229,2,2,3
ISIC_0010231,2,1,1
ISIC_0010233,2,2,1
ISIC_0010234,1,1,2
ISIC_0010236,2,2,1
ISIC_0010237,1,2,3
ISIC_0010240,2,2,2
ISIC_0010241,1,1,1
ISIC_0010244,2,2,1
ISIC_0010246,2,3,1
ISIC_0010247,1,2,3
ISIC_0010248,1,1,2
ISIC_0010249,2,3,2
ISIC_0010251,1,2,3
ISIC_0010254,2,1,1
ISIC_0010255,2,1,1
ISIC_0010256,1,2,3
ISIC_0010257,3,3,2
ISIC_0010261,3,3,3
ISIC_0010262,2,4,2
ISIC_0010264,2,2,1
ISIC_0010265,1,2,2
ISIC_0010267,1,2,2
ISIC_0010317,2,3,3
ISIC_0010318,2,1,1
ISIC_0010320,0,3,1
ISIC_0010326,2,1,1
ISIC_0010327,2,2,2
ISIC_0010329,5,1,4
ISIC_0010330,2,1,3
ISIC_0010332,2,3,3
ISIC_0010333,2,2,1
ISIC_0010334,1,2,2
ISIC_0010336,3,1,1
ISIC_0010337,1,2,1
ISIC_0010339,2,2,1
ISIC_0010340,3,2,2
ISIC_0010341,1,1,1
ISIC_0010342,2,1,2
ISIC_0010344,2,2,3
ISIC_0010346,2,2,3
ISIC_0010348,1,2,2
ISIC_0010350,2,2,2
ISIC_0010351,2,1,2
ISIC_0010356,1,1,3
ISIC_0010357,2,3,3
ISIC_0010358,2,1,2
ISIC_0010360,2,2,1
ISIC_0010362,2,2,1
ISIC_0010364,3,2,3
ISIC_0010365,2,2,2
ISIC_0010367,1,2,1
ISIC_0010368,1,2,2
ISIC_0010370,1,1,1
ISIC_0010371,2,4,1
ISIC_0010372,1,2,1
ISIC_0010374,1,1,2
ISIC_0010379,1,1,1
ISIC_0010382,2,2,1
ISIC_0010435,2,2,3
ISIC_0010441,2,3,3
ISIC_0010442,2,3,6
ISIC_0010443,2,2,1
ISIC_0010444,1,2,3
ISIC_0010447,2,1,3
ISIC_0010448,1,3,1
ISIC_0010449,1,2,3
ISIC_0010452,2,2,1
ISIC_0010455,1,2,1
ISIC_0010456,1,2,2
ISIC_0010458,2,2,1
ISIC_0010460,4,1,2
ISIC_0010461,2,2,2
ISIC_0010463,3,2,3
ISIC_0010465,2,1,2
ISIC_0010466,2,1,2
ISIC_0010467,1,1,1
ISIC_0010468,3,1,1
ISIC_0010471,1,1,3
ISIC_0010472,2,3,2
ISIC_0010473,4,1,3
ISIC_0010474,2,2,1
ISIC_0010475,1,1,1
ISIC_0010476,2,1,1
ISIC_0010477,1,2,3
ISIC_0010479,2,4,3
ISIC_0010480,3,2,2
ISIC_0010481,2,1,3
ISIC_0010483,3,1,2
ISIC_0010487,2,3,2
ISIC_0010488,1,1,1
ISIC_0010490,2,2,2
ISIC_0010492,2,2,1
ISIC_0010493,3,2,3
ISIC_0010494,2,2,2
ISIC_0010497,2,2,2
ISIC_0010498,3,2,2
ISIC_0010552,2,2,1
ISIC_0010553,1,2,3
ISIC_0010554,1,2,1
ISIC_0010557,2,1,3
ISIC_0010558,2,2,2
ISIC_0010562,2,2,3
ISIC_0010565,3,1,1
ISIC_0010566,2,1,2
ISIC_0010567,3,2,2
ISIC_0010568,2,1,3
ISIC_0010569,1,2,4
ISIC_0010570,2,1,2
ISIC_0010571,2,3,1
ISIC_0010573,2,3,1
ISIC_0010574,3,1,1
ISIC_0010575,2,2,1
ISIC_0010581,3,1,2
ISIC_0010582,1,1,3
ISIC_0010584,2,2,1
ISIC_0010585,1,2,2
ISIC_0010586,1,3,2
ISIC_0010587,2,2,2
ISIC_0010588,2,1,1
ISIC_0010589,3,3,1
ISIC_0010590,2,2,1
ISIC_0010591,1,2,2
ISIC_0010592,2,1,2
ISIC_0010593,3,2,2
ISIC_0010595,2,1,1
ISIC_0010596,4,1,2
ISIC_0010597,4,3,1
ISIC_0010598,1,2,2
ISIC_0010599,2,4,2
ISIC_0010602,3,2,1
ISIC_0010603,2,1,3
ISIC_0010606,2,2,1
ISIC_0010607,1,2,1
ISIC_0010844,2,2,2
ISIC_0010846,1,1,2
ISIC_0010847,1,2,3
ISIC_0010848,2,1,1
ISIC_0010850,1,3,2
ISIC_0010851,1,1,2
ISIC_0010852,1,2,1
ISIC_0010853,2,3,2
ISIC_0010854,1,2,2
ISIC_0010856,1,3,1
ISIC_0010857,3,3,2
ISIC_0010858,3,1,2
ISIC_0010860,3,2,1
ISIC_0010861,1,2,2
ISIC_0010862,2,1,3
ISIC_0010863,2,2,1
ISIC_0010864,2,1,2
ISIC_0011079,1,2,1
ISIC_0011082,2,1,2
ISIC_0011083,3,2,1
ISIC_0011085,2,2,3
ISIC_0011088,1,3,1
